Indicator,Disaggregations,Number of disaggregations
#1-1-1,Sex,1
#1-2-1,"Sex, Age",2
#1-2-2,"Sex, Age",2
#1-4-1,"Location, Mobile Network",2
#10-2-1,"Sex, Age, Citizenship",3
#10-3-1,Sex,1
#10-4-1,Citizenship,1
#10-7-2,Policy Domains,1
#10-7-4,"Outcome, Decision type",2
#11-1-1,Poverty Status,1
#11-2-1,Sex,1
#11-6-2,Particulate Matter Type,1
#12-3-1,Food waste sector,1
#12-a-1,Technology,1
#13-a-1,Funding Channels,1
#16-1-1,Sex,1
#16-2-2,"Sex, Age, Broad citizenship, Form of exploitation",4
#16-3-1,Type of offence,1
#16-3-2,Sex,1
#16-6-2,Institution,1
#16-7-1,"Sex, Age, Type of Occupation, Court Level",4
#16-b-1,Sex,1
#17-1-1,Source,1
#17-12-1,Product,1
#17-7-1,EST type,1
#17-8-1,Sex,1
#2-1-2,Sex,1
#2-2-2,"Sex, Age, Body Mass Index",3
#2-2-3,Pregnancy status,1
#2-3-1,Sex,1
#2-c-1,Type of product,1
#3-2-1,Sex,1
#3-2-2,Sex,1
#3-3-1,"Sex, Age",2
#3-4-1,Sex,1
#3-4-2,Sex,1
#3-6-1,Sex,1
#3-8-1,Sex,1
#3-8-2,Level of Difficulty,1
#3-9-3,Sex,1
#3-a-1,Sex,1
#3-c-1,"Sex, Type of Occupation",2
#3-d-1,IHR Capacity,1
#4-1-1,"Sex, Education level, Type of Skill",3
#4-1-2,"Sex, Education Level",2
#4-2-2,Sex,1
#4-3-1,"Sex, Age",2
#4-4-1,"Sex, Level of digital skills",2
#4-5-1,Education level,1
#4-6-1,Skill,1
#4-a-1,Education level,1
#5-1-1,Area,1
#5-2-1,Age Group,1
#5-2-2,Age Group,1
#5-5-2,Age,1
#6-4-1,Activity,1
#7-2-1,Source,1
#7-b-1,Technology,1
#8-10-2,"Sex, Age",2
#8-3-1,"Sex, Activity",2
#8-5-1,Sex,1
#8-5-2,"Sex, Age",2
#8-6-1,Sex,1
#8-8-1,"Sex, Migratory Status",2
#9-c-1,Technology,1
