Year,Series,Sex,Age,Citizenship,Value
2010,Proportion of people living below 50 per cent of median income,Both Sexes,All Ages,,8.0
2010,Proportion of people living below 50 per cent of median income,Both Sexes,< 18Y,,10.3
2010,Proportion of people living below 50 per cent of median income,Both Sexes,18-64,,7.0
2010,Proportion of people living below 50 per cent of median income,Both Sexes,65+,,9.5
2010,Proportion of people living below 50 per cent of median income,Females,All Ages,,8.1
2010,Proportion of people living below 50 per cent of median income,Males,All Ages,,7.9
2010,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,19.8
2010,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.4
2010,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.8
2010,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.8
2011,Proportion of people living below 50 per cent of median income,Both Sexes,All Ages,,8.3
2011,Proportion of people living below 50 per cent of median income,Both Sexes,< 18Y,,11.8
2011,Proportion of people living below 50 per cent of median income,Both Sexes,18-64,,7.0
2011,Proportion of people living below 50 per cent of median income,Both Sexes,65+,,9.7
2011,Proportion of people living below 50 per cent of median income,Females,All Ages,,8.8
2011,Proportion of people living below 50 per cent of median income,Males,All Ages,,7.8
2011,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,20.6
2011,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,25.8
2011,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.7
2011,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,21.2
2012,Proportion of people living below 50 per cent of median income,Both Sexes,All Ages,,7.4
2012,Proportion of people living below 50 per cent of median income,Both Sexes,< 18Y,,10.1
2012,Proportion of people living below 50 per cent of median income,Both Sexes,18-64,,6.4
2012,Proportion of people living below 50 per cent of median income,Both Sexes,65+,,9.0
2012,Proportion of people living below 50 per cent of median income,Females,All Ages,,7.7
2012,Proportion of people living below 50 per cent of median income,Males,All Ages,,7.2
2012,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,21.2
2012,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,25.7
2012,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.2
2012,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,19.8
2013,Proportion of people living below 50 per cent of median income,Both Sexes,All Ages,,8.7
2013,Proportion of people living below 50 per cent of median income,Both Sexes,< 18Y,,14.5
2013,Proportion of people living below 50 per cent of median income,Both Sexes,18-64,,7.5
2013,Proportion of people living below 50 per cent of median income,Both Sexes,65+,,6.8
2013,Proportion of people living below 50 per cent of median income,Females,All Ages,,8.9
2013,Proportion of people living below 50 per cent of median income,Males,All Ages,,8.5
2013,At risk of poverty or social exclusion (AROPE) by citizenship,,,Maltese,22.7
2013,At risk of poverty or social exclusion (AROPE) by citizenship,,,Non-Maltese,26.2
2013,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.5
2013,At-risk-of poverty rate (AROP) by citizenship,,,Non-Maltese,22.2
2014,Proportion of people living below 50 per cent of median income,Both Sexes,All Ages,,8.3
2014,Proportion of people living below 50 per cent of median income,Both Sexes,< 18Y,,15.1
