Year,Fiscal intervention stage,Value
2019,Prefiscal income,46
2020,Prefiscal income,46
2021,Prefiscal income,46
2022,Prefiscal income,46
2023,Prefiscal income,46
2024,Prefiscal income,44
2025,Prefiscal income,44
2019,Postfiscal consumable income,33
2020,Postfiscal consumable income,33
2021,Postfiscal consumable income,33
2022,Postfiscal consumable income,33
2023,Postfiscal consumable income,33
2024,Postfiscal consumable income,32
2025,Postfiscal consumable income,32
2019,Postfiscal disposable income,31
2020,Postfiscal disposable income,30
2021,Postfiscal disposable income,31
2022,Postfiscal disposable income,30
2023,Postfiscal disposable income,30
2024,Postfiscal disposable income,30
2025,Postfiscal disposable income,30
