Year,Series,Sex,Units,Value
2016,1. Use of public transport (number of commuters),,Number of Commuters,43253238.0
2017,1. Use of public transport (number of commuters),,Number of Commuters,48053045.0
2018,1. Use of public transport (number of commuters),,Number of Commuters,53467404.0
2019,1. Use of public transport (number of commuters),,Number of Commuters,57409385.0
2020,1. Use of public transport (number of commuters),,Number of Commuters,33778974.0
2021,1. Use of public transport (number of commuters),,Number of Commuters,35207171.0
2022,1. Use of public transport (number of commuters),,Number of Commuters,49222424.0
2023,1. Use of public transport (number of commuters),,Number of Commuters,67241760.0
2015,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,741.0
2016,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,744.0
2017,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,738.0
2018,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,727.0
2019,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,709.0
2020,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,709.0
2021,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,713.0
2022,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,690.0
2023,"2. Number of passenger cars per 1,000 residents aged 18 and over",,Cars per 1000 residents,674.0
2011,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,4.7
2011,"3. Death due to transport accidents, by sex",Females,Standardised death rate,2.23
2011,"3. Death due to transport accidents, by sex",Males,Standardised death rate,7.59
2012,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,3.08
2012,"3. Death due to transport accidents, by sex",Males,Standardised death rate,5.57
2012,"3. Death due to transport accidents, by sex",Females,Standardised death rate,0.93
2013,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,5.05
2013,"3. Death due to transport accidents, by sex",Males,Standardised death rate,8.19
2013,"3. Death due to transport accidents, by sex",Females,Standardised death rate,2.07
2014,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,2.5
2014,"3. Death due to transport accidents, by sex",Males,Standardised death rate,2.99
2014,"3. Death due to transport accidents, by sex",Females,Standardised death rate,1.81
2015,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,3.03
2015,"3. Death due to transport accidents, by sex",Males,Standardised death rate,4.48
2015,"3. Death due to transport accidents, by sex",Females,Standardised death rate,1.72
2016,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,5.88
2016,"3. Death due to transport accidents, by sex",Males,Standardised death rate,9.64
2016,"3. Death due to transport accidents, by sex",Females,Standardised death rate,2.68
2017,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,4.44
2017,"3. Death due to transport accidents, by sex",Males,Standardised death rate,4.73
2017,"3. Death due to transport accidents, by sex",Females,Standardised death rate,3.95
2018,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,3.71
2018,"3. Death due to transport accidents, by sex",Males,Standardised death rate,6.43
2018,"3. Death due to transport accidents, by sex",Females,Standardised death rate,1.72
2019,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,3.86
2019,"3. Death due to transport accidents, by sex",Males,Standardised death rate,5.7
2019,"3. Death due to transport accidents, by sex",Females,Standardised death rate,2.14
2020,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,2.62
2020,"3. Death due to transport accidents, by sex",Males,Standardised death rate,3.97
2020,"3. Death due to transport accidents, by sex",Females,Standardised death rate,1.16
2021,"3. Death due to transport accidents, by sex",Both Sexes,Standardised death rate,1.29
2021,"3. Death due to transport accidents, by sex",Males,Standardised death rate,2.09
2021,"3. Death due to transport accidents, by sex",Females,Standardised death rate,0.36
