Year,Type of offence,Value
2010,Sexual assault,0.02
2011,Sexual assault,0.01
2012,Sexual assault,0.02
2013,Sexual assault,0.02
2014,Sexual assault,0.02
2015,Sexual assault,0.02
2016,Sexual assault,0.01
2017,Sexual assault,0.01
2018,Sexual assault,0.02
2019,Sexual assault,0.02
2020,Sexual assault,0.01
2021,Sexual assault,0.02
2022,Sexual assault,0.02
2023,Sexual assault,0.02
2010,Serious assault,0.04
2011,Serious assault,0.04
2012,Serious assault,0.04
2013,Serious assault,0.05
2014,Serious assault,0.04
2015,Serious assault,0.04
2016,Serious assault,0.04
2017,Serious assault,0.04
2018,Serious assault,0.04
2019,Serious assault,0.04
2020,Serious assault,0.04
2021,Serious assault,0.03
2022,Serious assault,0.04
2023,Serious assault,0.04
2010,Robbery,0.05
2011,Robbery,0.05
2012,Robbery,0.06
2013,Robbery,0.05
2014,Robbery,0.04
2015,Robbery,0.05
2016,Robbery,0.06
2017,Robbery,0.04
2018,Robbery,0.04
2019,Robbery,0.03
2020,Robbery,0.02
2021,Robbery,0.02
2022,Robbery,0.02
2023,Robbery,0.03
