Year,Pregnancy status,Value
2010,Total,11.5
2011,Total,11.6
2012,Total,11.6
2013,Total,11.8
2014,Total,11.9
2015,Total,12.1
2016,Total,12.3
2017,Total,12.6
2018,Total,13.0
2019,Total,13.4
2020,Total,13.9
2021,Total,14.5
2022,Total,15.1
2023,Total,15.7
2010,Non-pregnant,11.4
2011,Non-pregnant,11.4
2012,Non-pregnant,11.5
2013,Non-pregnant,11.6
2014,Non-pregnant,11.8
2015,Non-pregnant,11.9
2016,Non-pregnant,12.2
2017,Non-pregnant,12.5
2018,Non-pregnant,12.9
2019,Non-pregnant,13.3
2020,Non-pregnant,13.8
2021,Non-pregnant,14.4
2022,Non-pregnant,15.1
2023,Non-pregnant,15.7
2010,Pregnant,18.0
2011,Pregnant,17.7
2012,Pregnant,17.5
2013,Pregnant,17.4
2014,Pregnant,17.2
2015,Pregnant,17.1
2016,Pregnant,16.9
2017,Pregnant,16.8
2018,Pregnant,16.7
2019,Pregnant,16.6
2020,Pregnant,16.5
2021,Pregnant,16.6
2022,Pregnant,16.6
2023,Pregnant,16.7
