Year,Series,Sex,Age,Value
2014,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,12.1
2014,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,9.2
2014,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,5.6
2014,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.1
2014,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,13.0
2014,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,9.7
2014,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,5.2
2014,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,3.5
2014,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,11.2
2014,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,8.8
2014,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,6.0
2014,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,2.7
2015,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,11.6
2015,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,8.7
2015,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,5.0
2015,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,2.6
2015,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,12.4
2015,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,9.2
2015,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,5.5
2015,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,2.9
2015,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,10.9
2015,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,8.3
2015,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,4.5
2015,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,2.3
2016,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,11.6
2016,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,9.6
2016,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,5.4
2016,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.1
2016,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,12.9
2016,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,10.7
2016,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,6.0
2016,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,3.5
2016,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,10.5
2016,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,8.7
2016,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,4.8
2016,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,2.7
2017,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,16.0
2017,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,11.4
2017,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,8.7
2017,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,4.0
2017,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,19.3
2017,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,12.2
2017,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,9.2
2017,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,4.2
2017,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,13.0
2017,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,10.7
2017,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,8.2
2017,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,3.8
2018,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,17.0
2018,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,11.7
2018,1. Participation rate in education and training in the last 4 weeks,Both Sexes,45-54 years,8.5
2018,1. Participation rate in education and training in the last 4 weeks,Both Sexes,55-74 years,3.3
2018,1. Participation rate in education and training in the last 4 weeks,Females,25-34 years,21.6
2018,1. Participation rate in education and training in the last 4 weeks,Females,35-44 years,12.1
2018,1. Participation rate in education and training in the last 4 weeks,Females,45-54 years,9.1
2018,1. Participation rate in education and training in the last 4 weeks,Females,55-74 years,4.0
2018,1. Participation rate in education and training in the last 4 weeks,Males,25-34 years,12.8
2018,1. Participation rate in education and training in the last 4 weeks,Males,35-44 years,11.3
2018,1. Participation rate in education and training in the last 4 weeks,Males,45-54 years,8.0
2018,1. Participation rate in education and training in the last 4 weeks,Males,55-74 years,2.7
2019,1. Participation rate in education and training in the last 4 weeks,Both Sexes,25-34 years,17.8
2019,1. Participation rate in education and training in the last 4 weeks,Both Sexes,35-44 years,12.0
