Year,Series,Source,Value
2010,1. Share of renewable energy in gross final energy consumption,,0.98
2011,1. Share of renewable energy in gross final energy consumption,,1.85
2012,1. Share of renewable energy in gross final energy consumption,,2.86
2013,1. Share of renewable energy in gross final energy consumption,,3.76
2014,1. Share of renewable energy in gross final energy consumption,,4.74
2015,1. Share of renewable energy in gross final energy consumption,,5.12
2016,1. Share of renewable energy in gross final energy consumption,,6.21
2017,1. Share of renewable energy in gross final energy consumption,,7.22
2018,1. Share of renewable energy in gross final energy consumption,,7.91
2019,1. Share of renewable energy in gross final energy consumption,,8.23
2020,1. Share of renewable energy in gross final energy consumption,,10.71
2021,1. Share of renewable energy in gross final energy consumption,,12.63
2022,1. Share of renewable energy in gross final energy consumption,,14.04
2023,1. Share of renewable energy in gross final energy consumption,,15.11
2024,1. Share of renewable energy in gross final energy consumption,,17.21
2017,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),58.1
2018,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.6
2019,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),68.2
2020,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),73.6
2021,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),71.0
2022,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.5
2023,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.8
2024,"2. Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),58.0
2017,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,7.0
2018,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,7.9
2019,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,7.7
2020,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,9.7
2021,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,9.8
2022,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,10.3
2023,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,10.9
2024,"2. Percentage shares of total electricity supply in Malta, by source",Renewables,10.8
2017,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),35.0
2018,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),24.5
2019,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),24.1
2020,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),16.6
2021,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),19.1
2022,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),22.2
2023,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),21.3
2024,"2. Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),31.1
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,67.0
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,65.0
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,72.0
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,60.0
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,68.0
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,73.4
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,62.0
2024,"3. Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,67.6
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,21.0
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,20.0
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,14.0
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,17.0
2021,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,12.9
2022,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,12.2
2023,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,22.8
2024,"3. Percentage shares of total electricity imported via the Interconnector, by source",Coal,11.9
2017,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power,5.0
2018,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power,6.0
2019,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power,6.0
2020,"3. Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power,11.0
