Year,Activity,Sex,Value
2010,Non-agriculture,Both Sexes,15.32
2010,All Activities,Females,11.31
2010,"Agriculture, forestry and fishing",Females,78.0
2010,"Agriculture, forestry and fishing",Males,74.18
2010,Non-agriculture,Males,17.79
2010,All Activities,Males,19.36
2010,Non-agriculture,Females,10.87
2010,All Activities,Both Sexes,16.53
2010,"Agriculture, forestry and fishing",Both Sexes,74.62
2011,All Activities,Both Sexes,13.54
2011,Non-agriculture,Both Sexes,13.55
2011,All Activities,Males,16.68
2011,Non-agriculture,Males,16.74
2011,All Activities,Females,7.92
2011,Non-agriculture,Females,7.8
2012,All Activities,Both Sexes,12.02
2012,"Agriculture, forestry and fishing",Both Sexes,73.79
2012,Non-agriculture,Both Sexes,11.14
2012,Non-agriculture,Males,12.88
2012,All Activities,Females,8.32
2012,All Activities,Males,14.17
2012,Non-agriculture,Females,8.18
2012,"Agriculture, forestry and fishing",Males,80.9
2013,Non-agriculture,Females,6.09
2013,All Activities,Both Sexes,11.0
2013,All Activities,Males,13.93
2013,"Agriculture, forestry and fishing",Males,65.55
2013,Non-agriculture,Both Sexes,10.36
2013,"Agriculture, forestry and fishing",Both Sexes,59.31
2013,Non-agriculture,Males,12.96
2013,All Activities,Females,6.11
2014,All Activities,Both Sexes,10.47
2014,Non-agriculture,Both Sexes,10.47
2014,All Activities,Males,13.3
2014,Non-agriculture,Females,5.94
2014,All Activities,Females,5.94
2014,Non-agriculture,Males,13.3
2015,"Agriculture, forestry and fishing",Both Sexes,46.29
2015,Non-agriculture,Both Sexes,9.79
2015,Non-agriculture,Males,12.75
2015,All Activities,Males,13.04
2015,"Agriculture, forestry and fishing",Males,47.43
2015,All Activities,Females,5.25
2015,Non-agriculture,Females,5.25
2015,All Activities,Both Sexes,9.98
2016,All Activities,Both Sexes,10.92
2016,Non-agriculture,Both Sexes,10.54
2016,"Agriculture, forestry and fishing",Both Sexes,67.44
2016,All Activities,Males,14.57
2016,Non-agriculture,Males,13.98
2016,"Agriculture, forestry and fishing",Males,69.16
2016,All Activities,Females,5.35
2016,Non-agriculture,Females,5.36
2017,Non-agriculture,Males,13.77
2017,All Activities,Both Sexes,11.55
2017,"Agriculture, forestry and fishing",Both Sexes,62.15
2017,Non-agriculture,Both Sexes,10.85
2017,All Activities,Males,14.85
2017,"Agriculture, forestry and fishing",Males,64.15
2017,Non-agriculture,Females,6.56
2017,All Activities,Females,6.62
2018,All Activities,Both Sexes,11.4
2018,"Agriculture, forestry and fishing",Both Sexes,52.4
2018,All Activities,Males,14.82
2018,"Agriculture, forestry and fishing",Males,51.53
2018,Non-agriculture,Females,6.06
2018,All Activities,Females,6.16
2018,Non-agriculture,Males,14.19
2018,Non-agriculture,Both Sexes,10.95
2019,All Activities,Females,6.13
2019,Non-agriculture,Females,6.04
2019,All Activities,Both Sexes,12.25
2019,Non-agriculture,Both Sexes,11.86
2019,"Agriculture, forestry and fishing",Both Sexes,59.3
2019,All Activities,Males,16.3
2019,"Agriculture, forestry and fishing",Males,58.52
2019,Non-agriculture,Males,15.76
2020,All Activities,Both Sexes,12.13
2020,"Agriculture, forestry and fishing",Both Sexes,65.45
2020,Non-agriculture,Females,8.04
2020,Non-agriculture,Both Sexes,11.92
2020,All Activities,Males,14.8
2020,"Agriculture, forestry and fishing",Males,63.37
2020,All Activities,Females,8.11
2020,Non-agriculture,Males,14.51
2021,Non-agriculture,Both Sexes,12.35
2021,"Agriculture, forestry and fishing",Both Sexes,50.91
2021,All Activities,Both Sexes,12.46
2021,"Agriculture, forestry and fishing",Males,50.91
2021,Non-agriculture,Females,8.18
2021,Non-agriculture,Males,15.16
2021,All Activities,Females,8.18
2021,All Activities,Males,15.34
