Year,Sex,Value
2015,Both Sexes,24052
2016,Both Sexes,28284
2017,Both Sexes,30294
2018,Both Sexes,33196
2019,Both Sexes,37934
2020,Both Sexes,37084
2021,Both Sexes,32882
2022,Both Sexes,36259
2023,Both Sexes,42122
2024,Both Sexes,45041
2015,Females,8208
2016,Females,9339
2017,Females,11462
2018,Females,11947
2019,Females,11934
2020,Females,11282
2021,Females,12432
2022,Females,12991
2023,Females,14069
2024,Females,16135
2015,Males,15844
2016,Males,18945
2017,Males,18832
2018,Males,21249
2019,Males,26000
2020,Males,25802
2021,Males,20450
2022,Males,23268
2023,Males,28053
2024,Males,28906
