Year,Series,Mobile Network,Value
2010,1. Proportion of population using basic drinking water services,,100
2011,1. Proportion of population using basic drinking water services,,100
2012,1. Proportion of population using basic drinking water services,,100
2013,1. Proportion of population using basic drinking water services,,100
2014,1. Proportion of population using basic drinking water services,,100
2015,1. Proportion of population using basic drinking water services,,100
2016,1. Proportion of population using basic drinking water services,,100
2017,1. Proportion of population using basic drinking water services,,100
2018,1. Proportion of population using basic drinking water services,,100
2019,1. Proportion of population using basic drinking water services,,100
2020,1. Proportion of population using basic drinking water services,,100
2021,1. Proportion of population using basic drinking water services,,100
2022,1. Proportion of population using basic drinking water services,,100
2023,1. Proportion of population using basic drinking water services,,100
2024,1. Proportion of population using basic drinking water services,,100
2010,2. Proportion of population using basic sanitation services,,100
2011,2. Proportion of population using basic sanitation services,,100
2012,2. Proportion of population using basic sanitation services,,100
2013,2. Proportion of population using basic sanitation services,,100
2014,2. Proportion of population using basic sanitation services,,100
2015,2. Proportion of population using basic sanitation services,,100
2016,2. Proportion of population using basic sanitation services,,100
2017,2. Proportion of population using basic sanitation services,,100
2018,2. Proportion of population using basic sanitation services,,100
2019,2. Proportion of population using basic sanitation services,,100
2020,2. Proportion of population using basic sanitation services,,100
2021,2. Proportion of population using basic sanitation services,,100
2022,2. Proportion of population using basic sanitation services,,100
2023,2. Proportion of population using basic sanitation services,,100
2024,2. Proportion of population using basic sanitation services,,100
2010,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2011,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2012,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2013,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2014,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2015,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2016,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2017,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2018,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2019,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2020,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2021,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2022,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2023,3. Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated,,100
2010,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2011,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2012,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2013,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2014,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2015,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2016,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2017,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2018,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2019,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2020,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2021,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2022,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2023,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2024,4. Proportion of the rural population who live within 2 km of an all-season road,,100
2010,5. Percentage of population with primary reliance on clean fuels and technology,,100
