Year,Series,Outcome,Decision type,Units,Value
2015,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",331.6
2016,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",312.4
2017,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",233.6
2018,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",304.3
2019,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",202.0
2020,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",169.2
2021,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",155.5
2022,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",234.5
2023,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",197.7
2015,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,17.6
2016,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,11.6
2017,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,15.1
2018,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,10.0
2019,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,4.6
2020,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,8.5
2021,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,2.2
2022,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,1.0
2023,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,1.8
2024,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,10.4
2015,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,66.2
2016,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,71.4
2017,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,53.7
2018,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,33.1
2019,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,34.5
2020,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,22.2
2021,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,20.0
2022,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,14.1
2023,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,27.6
2024,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,33.0
2015,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,16.2
2016,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,16.9
