Year,Series,Units,Value
2016,1. Use of public transport (number of commuters),Number of commuters,43253238.0
2017,1. Use of public transport (number of commuters),Number of commuters,48053045.0
2018,1. Use of public transport (number of commuters),Number of commuters,53467404.0
2019,1. Use of public transport (number of commuters),Number of commuters,57409385.0
2020,1. Use of public transport (number of commuters),Number of commuters,33778974.0
2021,1. Use of public transport (number of commuters),Number of commuters,35207171.0
2022,1. Use of public transport (number of commuters),Number of commuters,49222424.0
2023,1. Use of public transport (number of commuters),Number of commuters,67241760.0
2024,1. Use of public transport (number of commuters),Number of commuters,75773333.0
2015,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",741.0
2016,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",743.7
2017,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",738.4
2018,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",727.5
2019,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",708.7
2020,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",708.9
2021,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",712.8
2022,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",689.5
2023,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",673.9
2024,"2. Number of passenger cars per 1,000 residents aged 18 and over","Cars per 1,000 residents",673.0
