Year,Series,Value
2015,Ecological footprint per person,5.64
2016,Ecological footprint per person,6.16
2017,Ecological footprint per person,5.78
2018,Ecological footprint per person,6.08
2019,Ecological footprint per person,5.74
2020,Ecological footprint per person,5.17
2021,Ecological footprint per person,4.86
2022,Ecological footprint per person,5.06
2023,Ecological footprint per person,5.1
2024,Ecological footprint per person,5.12
2015,Biocapacity per person,0.53
2016,Biocapacity per person,0.52
2017,Biocapacity per person,0.51
2018,Biocapacity per person,0.47
2019,Biocapacity per person,0.46
2020,Biocapacity per person,0.44
2021,Biocapacity per person,0.43
2022,Biocapacity per person,0.43
2023,Biocapacity per person,0.42
2024,Biocapacity per person,0.42
2015,Biocapacity deficit,-5.11
2016,Biocapacity deficit,-5.64
2017,Biocapacity deficit,-5.27
2018,Biocapacity deficit,-5.61
2019,Biocapacity deficit,-5.28
2020,Biocapacity deficit,-4.73
2021,Biocapacity deficit,-4.43
2022,Biocapacity deficit,-4.64
2023,Biocapacity deficit,-4.67
2024,Biocapacity deficit,-4.7
