Year,Series,Source,Units,Value
2010,Total government revenue as a proportion of GDP,Total government revenue,Percentage,37.8
2011,Total government revenue as a proportion of GDP,Total government revenue,Percentage,38.5
2012,Total government revenue as a proportion of GDP,Total government revenue,Percentage,38.4
2013,Total government revenue as a proportion of GDP,Total government revenue,Percentage,37.9
2014,Total government revenue as a proportion of GDP,Total government revenue,Percentage,38.1
2015,Total government revenue as a proportion of GDP,Total government revenue,Percentage,37.0
2016,Total government revenue as a proportion of GDP,Total government revenue,Percentage,36.6
2017,Total government revenue as a proportion of GDP,Total government revenue,Percentage,36.1
2018,Total government revenue as a proportion of GDP,Total government revenue,Percentage,36.3
2019,Total government revenue as a proportion of GDP,Total government revenue,Percentage,35.6
2020,Total government revenue as a proportion of GDP,Total government revenue,Percentage,33.3
2021,Total government revenue as a proportion of GDP,Total government revenue,Percentage,32.5
2022,Total government revenue as a proportion of GDP,Total government revenue,Percentage,32.5
2023,Total government revenue as a proportion of GDP,Total government revenue,Percentage,31.9
2010,Total government revenue as a proportion of GDP,Market output,Percentage,2.8
2011,Total government revenue as a proportion of GDP,Market output,Percentage,2.9
2012,Total government revenue as a proportion of GDP,Market output,Percentage,2.7
2013,Total government revenue as a proportion of GDP,Market output,Percentage,2.8
2014,Total government revenue as a proportion of GDP,Market output,Percentage,2.5
2015,Total government revenue as a proportion of GDP,Market output,Percentage,2.5
2016,Total government revenue as a proportion of GDP,Market output,Percentage,2.5
2017,Total government revenue as a proportion of GDP,Market output,Percentage,2.6
2018,Total government revenue as a proportion of GDP,Market output,Percentage,2.7
2019,Total government revenue as a proportion of GDP,Market output,Percentage,2.7
2020,Total government revenue as a proportion of GDP,Market output,Percentage,2.6
2021,Total government revenue as a proportion of GDP,Market output,Percentage,2.7
2022,Total government revenue as a proportion of GDP,Market output,Percentage,2.7
2023,Total government revenue as a proportion of GDP,Market output,Percentage,2.9
2010,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,13.2
2011,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,13.1
2012,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,12.6
2013,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,12.2
2014,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,12.4
2015,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,11.5
2016,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,11.6
2017,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,11.2
2018,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,11.5
2019,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,11.1
2020,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,9.7
2021,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,9.4
2022,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,9.7
2023,Total government revenue as a proportion of GDP,Taxes on production and imports,Percentage,9.5
2010,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.4
2011,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.3
2012,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.4
2013,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.4
2014,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.2
2015,Total government revenue as a proportion of GDP,Property income receivable,Percentage,1.1
2016,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.9
2017,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.8
2018,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.7
2019,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.5
2020,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.6
2021,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.5
2022,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.4
2023,Total government revenue as a proportion of GDP,Property income receivable,Percentage,0.5
2010,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,11.8
2011,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.1
2012,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.5
2013,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.8
2014,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,13.1
2015,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.7
2016,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,14.5
2017,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,14.7
2018,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,13.8
2019,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,13.9
2020,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.6
2021,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.8
2022,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.7
2023,Total government revenue as a proportion of GDP,Current taxes on income and wealth,Percentage,12.2
2010,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,6.7
2011,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,6.9
2012,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,6.7
2013,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,6.5
2014,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,6.3
2015,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.8
2016,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.9
2017,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.6
2018,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.6
2019,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.5
2020,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.8
2021,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.5
2022,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.4
2023,Total government revenue as a proportion of GDP,Net social contributions receivable,Percentage,5.2
2010,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2011,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2012,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2013,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2014,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2015,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2016,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2017,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.6
2018,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.7
2019,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2020,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2021,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2022,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.4
2023,Total government revenue as a proportion of GDP,Current transfers receivable,Percentage,0.5
2010,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.7
2011,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.7
2012,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,2.0
2013,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.9
2014,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,2.3
2015,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,3.0
2016,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,0.6
2017,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,0.7
2018,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.4
2019,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.4
2020,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.6
2021,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.2
2022,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.1
2023,Total government revenue as a proportion of GDP,Capital transfers receivable,Percentage,1.2
2010,Total government revenue in local currency,,Euro (millions),2597.0
2011,Total government revenue in local currency,,Euro (millions),2708.0
2012,Total government revenue in local currency,,Euro (millions),2871.0
2013,Total government revenue in local currency,,Euro (millions),3081.0
2014,Total government revenue in local currency,,Euro (millions),3408.0
2015,Total government revenue in local currency,,Euro (millions),3783.0
2016,Total government revenue in local currency,,Euro (millions),3971.0
2017,Total government revenue in local currency,,Euro (millions),4527.0
2018,Total government revenue in local currency,,Euro (millions),4970.0
2019,Total government revenue in local currency,,Euro (millions),5196.0
2020,Total government revenue in local currency,,Euro (millions),4791.0
2021,Total government revenue in local currency,,Euro (millions),5421.0
2022,Total government revenue in local currency,,Euro (millions),5935.0
