Year,Series,Product,Value
2015,Most-favoured nation status,Agricultural products,6.39
2015,Most-favoured nation status,Arms,3.09
2015,Most-favoured nation status,Clothing,10.88
2015,Most-favoured nation status,Industrial products,1.84
2015,Most-favoured nation status,Textiles,7.07
2015,Most-favoured nation status,Other,2.31
2023,Most-favoured nation status,Agricultural products,6.34
2023,Most-favoured nation status,Arms,3.09
2023,Most-favoured nation status,Clothing,10.9
2023,Most-favoured nation status,Industrial products,1.67
2023,Most-favoured nation status,Textiles,7.1
2023,Most-favoured nation status,Other,2.13
2015,Preferential status,Agricultural products,4.09
2015,Preferential status,Arms,2.73
2015,Preferential status,Clothing,6.98
2015,Preferential status,Industrial products,1.22
2015,Preferential status,Textiles,5.41
2015,Preferential status,Other,1.61
2023,Preferential status,Agricultural products,2.71
2023,Preferential status,Arms,1.51
2023,Preferential status,Clothing,5.11
2023,Preferential status,Industrial products,0.67
2023,Preferential status,Textiles,4.49
2023,Preferential status,Other,0.93
