Year,Sector,Value
2021,Total,53483.89
2021,"Agriculture, Forestry, Fishing",16.2
2021,Education,21.86
2021,General Environment Protection,54.59
2021,Government and Civil Society,4455.6
2021,Health,2843.7
2021,Humanitarian Aid,467.68
2021,"Industry, Mining, Construction",1.65
2021,Refugees in Donor Countries,39937.3
2021,Unallocated / Unspecified,4837.17
2022,Total,94568.71
2022,"Agriculture, Forestry, Fishing",27.84
2022,Education,288.79
2022,General Environment Protection,22.94
2022,Government and Civil Society,655.07
2022,Health,1892.05
2022,Humanitarian Aid,504.47
2022,"Industry, Mining, Construction",2.06
2022,Refugees in Donor Countries,69869.45
2022,Unallocated / Unspecified,19789.59
2023,Total,84910.66
2023,"Agriculture, Forestry, Fishing",5.06
2023,Education,375.8
2023,General Environment Protection,11.25
2023,Government and Civil Society,1481.0
2023,Health,279.61
2023,Humanitarian Aid,553.79
2023,"Industry, Mining, Construction",10.9
2023,Refugees in Donor Countries,62712.59
2023,Unallocated / Unspecified,19001.82
2024,Total,84858.39
2024,"Agriculture, Forestry, Fishing",24.2
2024,Education,751.22
2024,General Environment Protection,72.72
2024,Government and Civil Society,11281.28
2024,Health,295.26
2024,Humanitarian Aid,605.95
2024,"Industry, Mining, Construction",4.79
2024,Refugees in Donor Countries,42890.07
2024,Unallocated / Unspecified,28126.02
2022,Water Supply and Sanitation,18.57
2023,Water Supply and Sanitation,86.51
2021,Other sectors,848.13
2022,Other sectors,1497.86
2023,Other sectors,392.35
2024,Other sectors,806.86
