Year,EST,Value
2010,Tracked exported ESTs,77.16
2010,Tracked imported ESTs,229.92
2010,Total trade of tracked ESTs,307.07
2011,Tracked exported ESTs,98.38
2011,Tracked imported ESTs,257.11
2011,Total trade of tracked ESTs,355.5
2012,Tracked exported ESTs,102.77
2012,Tracked imported ESTs,202.05
2012,Total trade of tracked ESTs,304.81
2013,Tracked exported ESTs,87.54
2013,Tracked imported ESTs,196.6
2013,Total trade of tracked ESTs,284.14
2014,Tracked exported ESTs,95.34
2014,Tracked imported ESTs,216.17
2014,Total trade of tracked ESTs,311.51
2015,Tracked exported ESTs,84.99
2015,Tracked imported ESTs,229.65
2015,Total trade of tracked ESTs,314.64
2016,Tracked exported ESTs,94.96
2016,Tracked imported ESTs,188.13
2016,Total trade of tracked ESTs,283.09
2017,Tracked exported ESTs,145.24
2017,Tracked imported ESTs,239.39
2017,Total trade of tracked ESTs,386.49
2018,Tracked exported ESTs,141.57
2018,Tracked imported ESTs,227.35
2018,Total trade of tracked ESTs,368.92
2019,Tracked exported ESTs,134.79
2019,Tracked imported ESTs,219.53
2019,Total trade of tracked ESTs,354.32
2020,Tracked exported ESTs,142.61
2020,Tracked imported ESTs,197.54
2020,Total trade of tracked ESTs,340.14
2021,Tracked exported ESTs,148.2
2021,Tracked imported ESTs,238.07
2021,Total trade of tracked ESTs,386.27
2022,Tracked exported ESTs,124.05
2022,Tracked imported ESTs,237.45
2022,Total trade of tracked ESTs,361.5
2023,Tracked exported ESTs,133.52
2023,Tracked imported ESTs,288.42
2023,Total trade of tracked ESTs,421.94
2024,Tracked exported ESTs,143.74
2024,Tracked imported ESTs,281.6
2024,Total trade of tracked ESTs,425.34
