Year,Series,Sex,Age,Body Mass Index,Units,Value
2010,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,8.0
2011,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,8.1
2012,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,8.2
2013,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,8.4
2014,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,8.7
2015,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.0
2016,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.1
2017,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.3
2018,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.5
2019,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.6
2020,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.7
2021,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.8
2022,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,9.9
2023,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,10.0
2024,1. Proportion of children moderately or severely overweight,Both Sexes,,,Percentage of children aged 0-59 months,10.1
2010,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,7.5
2011,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,7.6
2012,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,7.7
2013,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,7.9
2014,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,8.1
2015,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,8.4
2016,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,8.6
2017,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,8.7
2018,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,8.9
2019,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.0
2020,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.1
2021,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.2
2022,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.3
2023,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.4
2024,1. Proportion of children moderately or severely overweight,Females,,,Percentage of children aged 0-59 months,9.5
2010,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,8.5
2011,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,8.7
2012,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,8.8
2013,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,9.0
2014,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,9.3
2015,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,9.6
2016,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,9.8
2017,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.0
2018,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.1
2019,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.2
2020,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.3
2021,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.5
2022,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.6
2023,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.7
2024,1. Proportion of children moderately or severely overweight,Males,,,Percentage of children aged 0-59 months,10.8
2010,2. Children moderately or severely overweight,Both Sexes,,,Thousands,1.6
2011,2. Children moderately or severely overweight,Both Sexes,,,Thousands,1.7
2012,2. Children moderately or severely overweight,Both Sexes,,,Thousands,1.7
2013,2. Children moderately or severely overweight,Both Sexes,,,Thousands,1.8
2014,2. Children moderately or severely overweight,Both Sexes,,,Thousands,1.9
2015,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.0
2016,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.1
2017,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.1
2018,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.2
2019,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.3
2020,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.3
2021,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.3
2022,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.2
2023,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.2
2024,2. Children moderately or severely overweight,Both Sexes,,,Thousands,2.2
2010,2. Children moderately or severely overweight,Females,,,Thousands,0.7
2011,2. Children moderately or severely overweight,Females,,,Thousands,0.7
2012,2. Children moderately or severely overweight,Females,,,Thousands,0.8
2013,2. Children moderately or severely overweight,Females,,,Thousands,0.8
2014,2. Children moderately or severely overweight,Females,,,Thousands,0.8
2015,2. Children moderately or severely overweight,Females,,,Thousands,0.9
2016,2. Children moderately or severely overweight,Females,,,Thousands,0.9
2017,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2018,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2019,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2020,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2021,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2022,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2023,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2024,2. Children moderately or severely overweight,Females,,,Thousands,1.0
2010,2. Children moderately or severely overweight,Males,,,Thousands,0.9
2011,2. Children moderately or severely overweight,Males,,,Thousands,0.9
2012,2. Children moderately or severely overweight,Males,,,Thousands,0.9
2013,2. Children moderately or severely overweight,Males,,,Thousands,1.0
2014,2. Children moderately or severely overweight,Males,,,Thousands,1.0
2015,2. Children moderately or severely overweight,Males,,,Thousands,1.1
2016,2. Children moderately or severely overweight,Males,,,Thousands,1.1
2017,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2018,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2019,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2020,2. Children moderately or severely overweight,Males,,,Thousands,1.3
2021,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2022,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2023,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2024,2. Children moderately or severely overweight,Males,,,Thousands,1.2
2014,3. Obesity rate by body mass index,,,Pre-obese,Body Mass Index,35.0
2014,3. Obesity rate by body mass index,,,Obese,Body Mass Index,26.0
2014,3. Obesity rate by body mass index,,,Overweight,Body Mass Index,61.0
