Year,Pregnancy status,Value
2010,Total,12.3
2011,Total,12.2
2012,Total,12.3
2013,Total,12.3
2014,Total,12.4
2015,Total,12.6
2016,Total,12.7
2017,Total,13.0
2018,Total,13.3
2019,Total,13.7
2010,Non-pregnant,12.1
2011,Non-pregnant,12.1
2012,Non-pregnant,12.1
2013,Non-pregnant,12.2
2014,Non-pregnant,12.2
2015,Non-pregnant,12.4
2016,Non-pregnant,12.6
2017,Non-pregnant,12.8
2018,Non-pregnant,13.2
2019,Non-pregnant,13.6
2010,Pregnant,18.7
2011,Pregnant,18.6
2012,Pregnant,18.5
2013,Pregnant,18.6
2014,Pregnant,18.5
2015,Pregnant,18.6
2016,Pregnant,18.6
2017,Pregnant,18.7
2018,Pregnant,18.9
2019,Pregnant,19.0
