Year,Series,Units,Value
2010,1. Agriculture orientation index for government expenditures,Index,1.34
2011,1. Agriculture orientation index for government expenditures,Index,1.38
2012,1. Agriculture orientation index for government expenditures,Index,1.31
2013,1. Agriculture orientation index for government expenditures,Index,1.3
2014,1. Agriculture orientation index for government expenditures,Index,1.17
2015,1. Agriculture orientation index for government expenditures,Index,1.4
2016,1. Agriculture orientation index for government expenditures,Index,1.23
2017,1. Agriculture orientation index for government expenditures,Index,1.61
2018,1. Agriculture orientation index for government expenditures,Index,2.08
2019,1. Agriculture orientation index for government expenditures,Index,2.2
2020,1. Agriculture orientation index for government expenditures,Index,1.29
2021,1. Agriculture orientation index for government expenditures,Index,1.11
2022,1. Agriculture orientation index for government expenditures,Index,1.27
2010,2. Agriculture value added share of GDP,Percentage,1.27
2011,2. Agriculture value added share of GDP,Percentage,1.09
2012,2. Agriculture value added share of GDP,Percentage,1.09
2013,2. Agriculture value added share of GDP,Percentage,1.02
2014,2. Agriculture value added share of GDP,Percentage,1.0
2015,2. Agriculture value added share of GDP,Percentage,0.94
2016,2. Agriculture value added share of GDP,Percentage,1.01
2017,2. Agriculture value added share of GDP,Percentage,0.68
2018,2. Agriculture value added share of GDP,Percentage,0.62
2019,2. Agriculture value added share of GDP,Percentage,0.47
2020,2. Agriculture value added share of GDP,Percentage,0.73
2021,2. Agriculture value added share of GDP,Percentage,0.83
2022,2. Agriculture value added share of GDP,Percentage,0.77
2010,3. Agriculture share of Government Expenditure,Percentage,1.71
2011,3. Agriculture share of Government Expenditure,Percentage,1.5
2012,3. Agriculture share of Government Expenditure,Percentage,1.43
2013,3. Agriculture share of Government Expenditure,Percentage,1.33
2014,3. Agriculture share of Government Expenditure,Percentage,1.17
2015,3. Agriculture share of Government Expenditure,Percentage,1.32
2016,3. Agriculture share of Government Expenditure,Percentage,1.25
2017,3. Agriculture share of Government Expenditure,Percentage,1.09
2018,3. Agriculture share of Government Expenditure,Percentage,1.29
2019,3. Agriculture share of Government Expenditure,Percentage,1.04
2020,3. Agriculture share of Government Expenditure,Percentage,0.94
2021,3. Agriculture share of Government Expenditure,Percentage,0.92
2022,3. Agriculture share of Government Expenditure,Percentage,0.98
2010,4. Government support to agricultural research and development,Million euro (€),0.375
2011,4. Government support to agricultural research and development,Million euro (€),0.395
2012,4. Government support to agricultural research and development,Million euro (€),0.401
2013,4. Government support to agricultural research and development,Million euro (€),0.528
2014,4. Government support to agricultural research and development,Million euro (€),0.468
2015,4. Government support to agricultural research and development,Million euro (€),0.709
2016,4. Government support to agricultural research and development,Million euro (€),0.281
2017,4. Government support to agricultural research and development,Million euro (€),0.267
2018,4. Government support to agricultural research and development,Million euro (€),1.116
2019,4. Government support to agricultural research and development,Million euro (€),1.492
2020,4. Government support to agricultural research and development,Million euro (€),0.849
2021,4. Government support to agricultural research and development,Million euro (€),1.277
2022,4. Government support to agricultural research and development,Million euro (€),1.289
2023,4. Government support to agricultural research and development,Million euro (€),1.217
