Year,Series,Value
2010,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),76
2011,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),96
2012,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),99
2013,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),99
2014,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),99
2015,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),97
2016,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),97
2017,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),98
2018,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),97
2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),98
2020,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),98
2021,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),99
2022,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),98
2023,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%),98
2013,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),29
2014,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),91
2015,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),87
2016,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),82
2017,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),78
2018,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),80
2019,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),82
2020,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),82
2021,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),96
2022,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),76
2023,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%),73
2010,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),85
2011,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),85
2012,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),91
2013,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),88
2014,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),94
2015,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),91
2016,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),86
2017,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),83
2018,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),95
2019,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),95
2020,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),99
2021,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),93
2022,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),95
2023,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%),95
2021,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),99
2022,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),99
2023,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%),97
