Year,Series,Area,Units,Value
2020,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 1: overarching legal frameworks and public life,Percentage (%),80.0
2022,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 1: overarching legal frameworks and public life,Percentage (%),80.0
2024,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 1: overarching legal frameworks and public life,Percentage (%),90.0
2020,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 2: violence against women,Percentage (%),100.0
2022,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 2: violence against women,Percentage (%),100.0
2024,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 2: violence against women,Percentage (%),100.0
2020,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 3: employment and economic benefits,Percentage (%),90.0
2022,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 3: employment and economic benefits,Percentage (%),90.0
2024,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 3: employment and economic benefits,Percentage (%),90.0
2020,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 4: marriage and family,Percentage (%),90.9
2022,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 4: marriage and family,Percentage (%),90.9
2024,"1. Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex",Area 4: marriage and family,Percentage (%),90.9
2010,2. Gender pay gap in unadjusted form,,Percentage (%),7.2
2011,2. Gender pay gap in unadjusted form,,Percentage (%),7.7
2012,2. Gender pay gap in unadjusted form,,Percentage (%),9.5
2013,2. Gender pay gap in unadjusted form,,Percentage (%),9.7
2014,2. Gender pay gap in unadjusted form,,Percentage (%),10.6
2015,2. Gender pay gap in unadjusted form,,Percentage (%),10.7
2016,2. Gender pay gap in unadjusted form,,Percentage (%),11.6
2017,2. Gender pay gap in unadjusted form,,Percentage (%),13.2
2018,2. Gender pay gap in unadjusted form,,Percentage (%),13.0
2019,2. Gender pay gap in unadjusted form,,Percentage (%),10.5
2020,2. Gender pay gap in unadjusted form,,Percentage (%),7.9
2021,2. Gender pay gap in unadjusted form,,Percentage (%),7.2
2022,2. Gender pay gap in unadjusted form,,Percentage (%),5.8
2023,2. Gender pay gap in unadjusted form,,Percentage (%),5.1
2010,3. Gender employment gap,,Percentage (%),36.6
2011,3. Gender employment gap,,Percentage (%),35.2
2012,3. Gender employment gap,,Percentage (%),31.4
2013,3. Gender employment gap,,Percentage (%),28.6
2014,3. Gender employment gap,,Percentage (%),26.8
2015,3. Gender employment gap,,Percentage (%),26.8
2016,3. Gender employment gap,,Percentage (%),25.5
2017,3. Gender employment gap,,Percentage (%),24.1
2018,3. Gender employment gap,,Percentage (%),22.3
2019,3. Gender employment gap,,Percentage (%),22.0
2020,3. Gender employment gap,,Percentage (%),18.9
2021,3. Gender employment gap,,Percentage (%),17.6
2022,3. Gender employment gap,,Percentage (%),13.3
2023,3. Gender employment gap,,Percentage (%),14.1
2024,3. Gender employment gap,,Percentage (%),13.4
