Year,Activity,Value
2010,Industries,1316.64
2011,Industries,1320.01
2012,Industries,1325.95
2013,Industries,1267.97
2014,Industries,1216.34
2015,Industries,1196.17
2016,Industries,1223.64
2017,Industries,1340.06
2018,Industries,1437.7
2019,Industries,1587.86
2020,Industries,1567.03
2021,Industries,1722.75
2022,Industries,1787.74
2023,Industries,1849.34
2010,Agriculture,2.31
2011,Agriculture,1.9
2012,Agriculture,1.91
2013,Agriculture,1.68
2014,Agriculture,1.82
2015,Agriculture,2.09
2016,Agriculture,2.21
2017,Agriculture,1.52
2018,Agriculture,1.66
2019,Agriculture,1.45
2020,Agriculture,2.35
2021,Agriculture,3.34
2022,Agriculture,3.42
2023,Agriculture,3.42
2010,Services,316.42
2011,Services,362.65
2012,Services,444.89
2013,Services,463.81
2014,Services,224.58
2015,Services,246.1
2016,Services,248.71
2017,Services,281.31
2018,Services,297.1
2019,Services,297.52
2020,Services,298.14
2021,Services,342.94
2022,Services,347.73
2023,Services,361.65
2010,Total,189.38
2011,Total,190.12
2012,Total,199.41
2013,Total,185.72
2014,Total,141.44
2015,Total,161.19
2016,Total,164.14
2017,Total,178.65
2018,Total,197.57
2019,Total,209.95
2020,Total,205.7
2021,Total,240.38
2022,Total,252.13
2023,Total,264.7
