Year,Sex,Value
2010,Males,7.27
2011,Males,7.57
2012,Males,7.95
2013,Males,8.34
2014,Males,8.59
2015,Males,8.72
2016,Males,9.07
2017,Males,9.35
2018,Males,9.83
2019,Males,10.02
2020,Males,9.73
2021,Males,10.15
2022,Males,10.82
2023,Males,11.2
2024,Males,11.71
2010,Females,7.4
2011,Females,7.56
2012,Females,7.87
2013,Females,7.93
2014,Females,7.98
2015,Females,8.4
2016,Females,8.77
2017,Females,8.79
2018,Females,9.11
2019,Females,9.36
2020,Females,9.4
2021,Females,9.96
2022,Females,10.38
2023,Females,10.98
2024,Females,11.72
