Year,Series,Age,Units,Sex,Value
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,6.9
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,6.4
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,6.2
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,5.7
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,5.4
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,4.7
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,4.0
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,4.0
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,4.1
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,4.9
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,3.8
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,3.5
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,3.5
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Both Sexes,3.1
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,13.2
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,13.3
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,13.8
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,12.7
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,11.7
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,11.6
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,10.7
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,10.6
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,9.4
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,10.1
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,11.5
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,9.9
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,9.0
2023,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,9.2
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),Both Sexes,9.1
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,5.6
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,5.0
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,4.8
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,4.9
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,4.7
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,4.4
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,3.8
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,3.1
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,3.3
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,4.1
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),Both Sexes,3.1
