Year,Series,Sex,Migratory Status,Units,Value
2016,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",3.91
2016,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2016,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",6.87
2016,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",20.36
2016,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2016,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",35.18
2016,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2016,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2016,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",0.53
2017,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",0.93
2017,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",6.12
2017,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2017,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2018,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1.98
2018,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2018,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",3.48
2018,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",7.04
2018,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2018,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",9.26
2018,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2018,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
2018,"Fatal occupational injuries among employees, per 100,000 employees",Males,Non-Migrant,"per 100,000 employees",0.0
2019,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,All Migratory Statuses,"per 100,000 employees",1.42
2019,"Fatal occupational injuries among employees, per 100,000 employees",Females,All Migratory Statuses,"per 100,000 employees",0.0
2019,"Fatal occupational injuries among employees, per 100,000 employees",Males,All Migratory Statuses,"per 100,000 employees",2.46
2019,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Migrants,"per 100,000 employees",3.95
2019,"Fatal occupational injuries among employees, per 100,000 employees",Females,Migrants,"per 100,000 employees",0.0
2019,"Fatal occupational injuries among employees, per 100,000 employees",Males,Migrants,"per 100,000 employees",7.33
2019,"Fatal occupational injuries among employees, per 100,000 employees",Both Sexes,Non-Migrant,"per 100,000 employees",0.0
2019,"Fatal occupational injuries among employees, per 100,000 employees",Females,Non-Migrant,"per 100,000 employees",0.0
