Year,Value,Series
2010,49.3,1. Labour share of GDP
2011,51.1,1. Labour share of GDP
2012,50.6,1. Labour share of GDP
2013,50.2,1. Labour share of GDP
2014,48.3,1. Labour share of GDP
2015,46.8,1. Labour share of GDP
2016,48.5,1. Labour share of GDP
2017,45.8,1. Labour share of GDP
2018,47.3,1. Labour share of GDP
2019,48.9,1. Labour share of GDP
2020,51.4,1. Labour share of GDP
2021,48.7,1. Labour share of GDP
2022,50.6,1. Labour share of GDP
2023,47.8,1. Labour share of GDP
2024,48.7,1. Labour share of GDP
