Year,Value,Series
2010,0.0,1. Marine waters affected by eutrophication
2011,0.0,1. Marine waters affected by eutrophication
2012,0.0,1. Marine waters affected by eutrophication
2013,0.0,1. Marine waters affected by eutrophication
2014,0.0,1. Marine waters affected by eutrophication
2015,0.0,1. Marine waters affected by eutrophication
2016,0.0,1. Marine waters affected by eutrophication
2017,0.0,1. Marine waters affected by eutrophication
2018,0.0,1. Marine waters affected by eutrophication
2019,0.0,1. Marine waters affected by eutrophication
2020,0.0,1. Marine waters affected by eutrophication
2021,0.0,1. Marine waters affected by eutrophication
2022,0.0,1. Marine waters affected by eutrophication
2023,0.0,1. Marine waters affected by eutrophication
2024,0.0,1. Marine waters affected by eutrophication
2011,97.7,2. Coastal bathing sites with excellent water quality
2012,96.6,2. Coastal bathing sites with excellent water quality
2013,98.9,2. Coastal bathing sites with excellent water quality
2014,100.0,2. Coastal bathing sites with excellent water quality
2015,97.7,2. Coastal bathing sites with excellent water quality
2016,98.9,2. Coastal bathing sites with excellent water quality
2017,98.9,2. Coastal bathing sites with excellent water quality
2018,98.9,2. Coastal bathing sites with excellent water quality
2019,97.7,2. Coastal bathing sites with excellent water quality
2020,96.6,2. Coastal bathing sites with excellent water quality
2021,96.6,2. Coastal bathing sites with excellent water quality
2022,94.3,2. Coastal bathing sites with excellent water quality
2023,92.0,2. Coastal bathing sites with excellent water quality
