Year,Value,Units,Series
2010,1.34,Index,1. Agriculture orientation index for government expenditures
2011,1.38,Index,1. Agriculture orientation index for government expenditures
2012,1.31,Index,1. Agriculture orientation index for government expenditures
2013,1.3,Index,1. Agriculture orientation index for government expenditures
2014,1.17,Index,1. Agriculture orientation index for government expenditures
2015,1.4,Index,1. Agriculture orientation index for government expenditures
2016,1.23,Index,1. Agriculture orientation index for government expenditures
2017,1.61,Index,1. Agriculture orientation index for government expenditures
2018,2.08,Index,1. Agriculture orientation index for government expenditures
2019,2.2,Index,1. Agriculture orientation index for government expenditures
2020,1.29,Index,1. Agriculture orientation index for government expenditures
2021,1.11,Index,1. Agriculture orientation index for government expenditures
2022,1.27,Index,1. Agriculture orientation index for government expenditures
2010,1.27,Percentage,2. Agriculture value added share of GDP
2011,1.09,Percentage,2. Agriculture value added share of GDP
2012,1.09,Percentage,2. Agriculture value added share of GDP
2013,1.02,Percentage,2. Agriculture value added share of GDP
2014,1.0,Percentage,2. Agriculture value added share of GDP
2015,0.94,Percentage,2. Agriculture value added share of GDP
2016,1.01,Percentage,2. Agriculture value added share of GDP
2017,0.68,Percentage,2. Agriculture value added share of GDP
2018,0.62,Percentage,2. Agriculture value added share of GDP
2019,0.47,Percentage,2. Agriculture value added share of GDP
2020,0.73,Percentage,2. Agriculture value added share of GDP
2021,0.83,Percentage,2. Agriculture value added share of GDP
2022,0.77,Percentage,2. Agriculture value added share of GDP
2010,1.71,Percentage,3. Agriculture share of Government Expenditure
2011,1.5,Percentage,3. Agriculture share of Government Expenditure
2012,1.43,Percentage,3. Agriculture share of Government Expenditure
2013,1.33,Percentage,3. Agriculture share of Government Expenditure
2014,1.17,Percentage,3. Agriculture share of Government Expenditure
2015,1.32,Percentage,3. Agriculture share of Government Expenditure
2016,1.25,Percentage,3. Agriculture share of Government Expenditure
2017,1.09,Percentage,3. Agriculture share of Government Expenditure
2018,1.29,Percentage,3. Agriculture share of Government Expenditure
2019,1.04,Percentage,3. Agriculture share of Government Expenditure
2020,0.94,Percentage,3. Agriculture share of Government Expenditure
2021,0.92,Percentage,3. Agriculture share of Government Expenditure
2022,0.98,Percentage,3. Agriculture share of Government Expenditure
2010,0.375,Million euro (€),4. Government support to agricultural research and development
2011,0.395,Million euro (€),4. Government support to agricultural research and development
2012,0.401,Million euro (€),4. Government support to agricultural research and development
2013,0.528,Million euro (€),4. Government support to agricultural research and development
2014,0.468,Million euro (€),4. Government support to agricultural research and development
2015,0.709,Million euro (€),4. Government support to agricultural research and development
2016,0.281,Million euro (€),4. Government support to agricultural research and development
2017,0.267,Million euro (€),4. Government support to agricultural research and development
2018,1.116,Million euro (€),4. Government support to agricultural research and development
2019,1.492,Million euro (€),4. Government support to agricultural research and development
2020,0.849,Million euro (€),4. Government support to agricultural research and development
2021,1.277,Million euro (€),4. Government support to agricultural research and development
2022,1.289,Million euro (€),4. Government support to agricultural research and development
2023,1.217,Million euro (€),4. Government support to agricultural research and development
