Year,Value,Series
2010,-1.86,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2011,-0.54,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2012,0.18,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2013,0.35,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2014,-0.56,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2015,-0.06,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2016,0.14,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2017,-0.04,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2018,0.21,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2019,-0.2,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2020,-0.24,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2021,-0.28,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2022,1.46,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
2023,1.04,"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index"
