Year,Value,Series
2010,76,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2011,96,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2012,99,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2013,99,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2014,99,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2015,97,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2016,97,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2017,98,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2018,97,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2019,98,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2020,98,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2021,99,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2022,98,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2013,29,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2014,91,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2015,87,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2016,82,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2017,78,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2018,80,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2019,82,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2020,82,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2021,96,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2022,76,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2010,85,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2011,85,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2012,91,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2013,88,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2014,94,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2015,91,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2016,86,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2017,83,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2018,95,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2019,95,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2020,99,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2021,93,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2022,95,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2021,99,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2022,99,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
