Year,Series,Value
2010,Proportion of domestic budget funded by domestic taxes,63.52
2011,Proportion of domestic budget funded by domestic taxes,62.07
2012,Proportion of domestic budget funded by domestic taxes,61.6
2013,Proportion of domestic budget funded by domestic taxes,63.72
2014,Proportion of domestic budget funded by domestic taxes,65.14
2015,Proportion of domestic budget funded by domestic taxes,63.63
2016,Proportion of domestic budget funded by domestic taxes,69.98
2017,Proportion of domestic budget funded by domestic taxes,73.42
2018,Proportion of domestic budget funded by domestic taxes,70.38
2019,Proportion of domestic budget funded by domestic taxes,69.42
2020,Proportion of domestic budget funded by domestic taxes,51.98
2021,Proportion of domestic budget funded by domestic taxes,55.95
2022,Proportion of domestic budget funded by domestic taxes,59.86
