Year,EST type,Value
2010,Tracked exported ESTs,77.156676
2011,Tracked exported ESTs,98.381093
2012,Tracked exported ESTs,102.76855
2013,Tracked exported ESTs,87.54491
2014,Tracked exported ESTs,95.341616
2015,Tracked exported ESTs,84.991751
2016,Tracked exported ESTs,94.961761
2017,Tracked exported ESTs,145.237371
2018,Tracked exported ESTs,141.568718
2019,Tracked exported ESTs,134.790655
2020,Tracked exported ESTs,133.844824
2010,Tracked imported ESTs,229.916956
2011,Tracked imported ESTs,257.114481
2012,Tracked imported ESTs,202.045808
2013,Tracked imported ESTs,196.595317
2014,Tracked imported ESTs,216.171942
2015,Tracked imported ESTs,229.646351
2016,Tracked imported ESTs,188.129188
2017,Tracked imported ESTs,239.391218
2018,Tracked imported ESTs,227.347723
2019,Tracked imported ESTs,219.528181
2020,Tracked imported ESTs,178.087597
2010,Total trade of tracked ESTs,307.073632
2011,Total trade of tracked ESTs,355.495574
2012,Total trade of tracked ESTs,304.814358
2013,Total trade of tracked ESTs,284.140227
2014,Total trade of tracked ESTs,311.513558
2015,Total trade of tracked ESTs,314.638102
2016,Total trade of tracked ESTs,283.090949
2017,Total trade of tracked ESTs,386.491022
2018,Total trade of tracked ESTs,368.916441
2019,Total trade of tracked ESTs,354.318836
2020,Total trade of tracked ESTs,311.932421
