Year,Series,Sex,Value
2015,Infant mortality rate (deaths per 1000 live births),Both Sexes,5.78
2016,Infant mortality rate (deaths per 1000 live births),Both Sexes,7.37
2017,Infant mortality rate (deaths per 1000 live births),Both Sexes,6.71
2018,Infant mortality rate (deaths per 1000 live births),Both Sexes,5.63
2019,Infant mortality rate (deaths per 1000 live births),Both Sexes,6.67
2020,Infant mortality rate (deaths per 1000 live births),Both Sexes,3.85
2021,Infant mortality rate (deaths per 1000 live births),Both Sexes,3.87
2022,Infant mortality rate (deaths per 1000 live births),Both Sexes,5.34
2023,Infant mortality rate (deaths per 1000 live births),Both Sexes,3.59
2015,Infant mortality rate (deaths per 1000 live births),Females,4.25
2016,Infant mortality rate (deaths per 1000 live births),Females,6.16
2017,Infant mortality rate (deaths per 1000 live births),Females,4.75
2018,Infant mortality rate (deaths per 1000 live births),Females,4.16
2019,Infant mortality rate (deaths per 1000 live births),Females,9.57
2020,Infant mortality rate (deaths per 1000 live births),Females,4.22
2021,Infant mortality rate (deaths per 1000 live births),Females,5.12
2022,Infant mortality rate (deaths per 1000 live births),Females,4.25
2023,Infant mortality rate (deaths per 1000 live births),Females,3.21
2015,Infant mortality rate (deaths per 1000 live births),Males,7.25
2016,Infant mortality rate (deaths per 1000 live births),Males,8.46
2017,Infant mortality rate (deaths per 1000 live births),Males,8.58
2018,Infant mortality rate (deaths per 1000 live births),Males,7.02
2019,Infant mortality rate (deaths per 1000 live births),Males,3.98
2020,Infant mortality rate (deaths per 1000 live births),Males,3.5
2021,Infant mortality rate (deaths per 1000 live births),Males,2.67
2022,Infant mortality rate (deaths per 1000 live births),Males,6.39
2023,Infant mortality rate (deaths per 1000 live births),Males,3.95
2015,Under-five mortality rate (deaths per 1000 live births),Both Sexes,6.71
2016,Under-five mortality rate (deaths per 1000 live births),Both Sexes,7.82
2017,Under-five mortality rate (deaths per 1000 live births),Both Sexes,7.64
2018,Under-five mortality rate (deaths per 1000 live births),Both Sexes,6.53
2019,Under-five mortality rate (deaths per 1000 live births),Both Sexes,8.28
2020,Under-five mortality rate (deaths per 1000 live births),Both Sexes,4.3
2021,Under-five mortality rate (deaths per 1000 live births),Both Sexes,4.1
2022,Under-five mortality rate (deaths per 1000 live births),Both Sexes,5.8
2023,Under-five mortality rate (deaths per 1000 live births),Both Sexes,4.03
2015,Under-five mortality rate (deaths per 1000 live births),Females,4.72
2016,Under-five mortality rate (deaths per 1000 live births),Females,6.63
2017,Under-five mortality rate (deaths per 1000 live births),Females,5.7
2018,Under-five mortality rate (deaths per 1000 live births),Females,4.62
2019,Under-five mortality rate (deaths per 1000 live births),Females,10.05
2020,Under-five mortality rate (deaths per 1000 live births),Females,4.69
2021,Under-five mortality rate (deaths per 1000 live births),Females,5.58
2022,Under-five mortality rate (deaths per 1000 live births),Females,4.72
2023,Under-five mortality rate (deaths per 1000 live births),Females,3.66
2015,Under-five mortality rate (deaths per 1000 live births),Males,8.61
2016,Under-five mortality rate (deaths per 1000 live births),Males,8.88
2017,Under-five mortality rate (deaths per 1000 live births),Males,9.93
2018,Under-five mortality rate (deaths per 1000 live births),Males,8.34
2019,Under-five mortality rate (deaths per 1000 live births),Males,6.64
2020,Under-five mortality rate (deaths per 1000 live births),Males,3.94
2021,Under-five mortality rate (deaths per 1000 live births),Males,2.67
2022,Under-five mortality rate (deaths per 1000 live births),Males,6.85
2023,Under-five mortality rate (deaths per 1000 live births),Males,4.39
