Year,Activity,Value
2010,Total,187.41
2010,Agriculture,2.27
2010,Industries,1314.23
2010,Services,312.53
2011,Total,187.04
2011,Agriculture,1.71
2011,Services,357.31
2011,Industries,1293.36
2012,Total,196.18
2012,Agriculture,1.82
2012,Services,438.3
2012,Industries,1296.72
2013,Total,181.11
2013,Agriculture,1.73
2013,Services,451.53
2013,Industries,1245.66
2014,Total,138.04
2014,Agriculture,1.79
2014,Services,219.08
2014,Industries,1189.78
2015,Total,157.17
2015,Agriculture,2.0
2015,Services,239.58
2015,Industries,1181.27
2016,Total,158.83
2016,Agriculture,1.97
2016,Services,240.7
2016,Industries,1186.84
2017,Total,169.26
2017,Agriculture,1.43
2017,Services,265.57
2017,Industries,1305.21
2018,Total,185.28
2018,Agriculture,1.65
2018,Services,277.25
2018,Industries,1397.4
2019,Total,202.93
2019,Agriculture,1.39
2019,Services,286.87
2019,Industries,1562.24
2020,Total,187.2
2020,Agriculture,2.3
2020,Services,267.56
2020,Industries,1549.44
2021,Total,215.24
2021,Agriculture,3.16
2021,Services,304.43
2021,Industries,1613.58
