Year,Technology,Value
2010,At least 2G,100
2011,At least 2G,100
2012,At least 2G,100
2013,At least 2G,100
2014,At least 2G,100
2015,At least 2G,100
2016,At least 2G,100
2017,At least 2G,100
2018,At least 2G,100
2019,At least 2G,100
2020,At least 2G,100
2021,At least 2G,100
2022,At least 2G,100
2023,At least 2G,100
2024,At least 2G,100
2012,At least 3G,89
2013,At least 3G,96
2014,At least 3G,99
2015,At least 3G,100
2016,At least 3G,100
2017,At least 3G,100
2018,At least 3G,100
2019,At least 3G,100
2020,At least 3G,100
2021,At least 3G,100
2022,At least 3G,100
2023,At least 3G,100
2024,At least 3G,100
2013,At least 4G,30
2014,At least 4G,62
2015,At least 4G,100
2016,At least 4G,100
2017,At least 4G,100
2018,At least 4G,100
2019,At least 4G,100
2020,At least 4G,100
2021,At least 4G,100
2022,At least 4G,100
2023,At least 4G,100
2024,At least 4G,100
2019,At least 5G,0
2020,At least 5G,0
2021,At least 5G,25
2022,At least 5G,100
2023,At least 5G,100
2024,At least 5G,100
