Year,Series,Value
2010,"Total assistance for development, by donor countries",13.8
2011,"Total assistance for development, by donor countries",20.0
2012,"Total assistance for development, by donor countries",18.6
2013,"Total assistance for development, by donor countries",18.3
2014,"Total assistance for development, by donor countries",20.4
2015,"Total assistance for development, by donor countries",16.6
2016,"Total assistance for development, by donor countries",20.6
2017,"Total assistance for development, by donor countries",25.0
2018,"Total assistance for development, by donor countries",32.9
2019,"Total assistance for development, by donor countries",41.0
2020,"Total assistance for development, by donor countries",53.4
2021,"Total assistance for development, by donor countries",52.2
2022,"Total assistance for development, by donor countries",45.2
