Year,Value,Units,Series
2010,2970.31,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2011,3913.55,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2012,4457.43,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2013,3722.05,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2014,5156.42,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2015,6144.28,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2016,6184.69,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2017,5329.19,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2018,6289.93,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2019,5993.31,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2020,6593.21,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2021,5825.7,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2022,5385.15,Metric tonnes (thousands),Domestic Material Consumption (DMC)
2010,7.17,Tonnes per person,DMC per capita
2011,9.4,Tonnes per person,DMC per capita
2012,10.63,Tonnes per person,DMC per capita
2013,8.76,Tonnes per person,DMC per capita
2014,11.9,Tonnes per person,DMC per capita
2015,13.83,Tonnes per person,DMC per capita
2016,13.61,Tonnes per person,DMC per capita
2017,11.41,Tonnes per person,DMC per capita
2018,13.0,Tonnes per person,DMC per capita
2019,11.89,Tonnes per person,DMC per capita
2020,12.79,Tonnes per person,DMC per capita
2021,11.24,Tonnes per person,DMC per capita
2022,10.14,Tonnes per person,DMC per capita
2010,2.89,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2011,2.22,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2012,2.03,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2013,2.58,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2014,2.0,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2015,1.84,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2016,1.91,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2017,2.5,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2018,2.27,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2019,2.48,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2020,2.18,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2021,2.79,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2022,3.15,EUR per kilogramme,GDP per unit of DMC (Resource Productivity)
2010,100.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2011,132.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2012,150.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2013,125.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2014,174.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2015,207.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2016,208.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2017,179.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2018,212.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2019,202.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2020,222.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2021,196.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2022,181.0,Index (2010=100),Domestic Material Consumption (DMC) in Index form
2010,100.0,Index (2010=100),DMC per capita in Index form
2011,131.0,Index (2010=100),DMC per capita in Index form
2012,148.0,Index (2010=100),DMC per capita in Index form
2013,122.0,Index (2010=100),DMC per capita in Index form
2014,166.0,Index (2010=100),DMC per capita in Index form
2015,193.0,Index (2010=100),DMC per capita in Index form
2016,190.0,Index (2010=100),DMC per capita in Index form
2017,159.0,Index (2010=100),DMC per capita in Index form
2018,181.0,Index (2010=100),DMC per capita in Index form
2019,166.0,Index (2010=100),DMC per capita in Index form
2020,178.0,Index (2010=100),DMC per capita in Index form
2021,157.0,Index (2010=100),DMC per capita in Index form
2022,141.0,Index (2010=100),DMC per capita in Index form
2010,100.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2011,77.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2012,70.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2013,89.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2014,69.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2015,64.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2016,66.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2017,86.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2018,78.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2019,86.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2020,75.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2021,97.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
2022,109.0,Index (2010=100),GDP per unit of DMC (Resource Productivity) in Index form
