Year,Value,Units,Series
2010,1.09,Percentage,Forest area as a proportion of total land area
2015,1.09,Percentage,Forest area as a proportion of total land area
2016,1.19,Percentage,Forest area as a proportion of total land area
2017,1.31,Percentage,Forest area as a proportion of total land area
2018,1.44,Percentage,Forest area as a proportion of total land area
2019,1.44,Percentage,Forest area as a proportion of total land area
2020,1.44,Percentage,Forest area as a proportion of total land area
2010,0.35,thousands of hectares,Forest area
2015,0.35,thousands of hectares,Forest area
2016,0.38,thousands of hectares,Forest area
2017,0.42,thousands of hectares,Forest area
2018,0.46,thousands of hectares,Forest area
2019,0.46,thousands of hectares,Forest area
2020,0.46,thousands of hectares,Forest area
2010,32.0,thousands of hectares,Land area
2015,32.0,thousands of hectares,Land area
2016,32.0,thousands of hectares,Land area
2017,32.0,thousands of hectares,Land area
2018,32.0,thousands of hectares,Land area
2019,32.0,thousands of hectares,Land area
2020,32.0,thousands of hectares,Land area
