Year,Value,Series
2010,0.98,1. Share of renewable energy in gross final energy consumption
2011,1.85,1. Share of renewable energy in gross final energy consumption
2012,2.86,1. Share of renewable energy in gross final energy consumption
2013,3.76,1. Share of renewable energy in gross final energy consumption
2014,4.74,1. Share of renewable energy in gross final energy consumption
2015,5.12,1. Share of renewable energy in gross final energy consumption
2016,6.21,1. Share of renewable energy in gross final energy consumption
2017,7.22,1. Share of renewable energy in gross final energy consumption
2018,7.91,1. Share of renewable energy in gross final energy consumption
2019,8.23,1. Share of renewable energy in gross final energy consumption
2020,10.71,1. Share of renewable energy in gross final energy consumption
2021,12.63,1. Share of renewable energy in gross final energy consumption
2022,13.97,1. Share of renewable energy in gross final energy consumption
2023,15.08,1. Share of renewable energy in gross final energy consumption
