Year,Series,Sex,Value
2015,Proportion of population covered by at least one social protection benefit,,100.0
2016,Proportion of population covered by at least one social protection benefit,,100.0
2017,Proportion of population covered by at least one social protection benefit,,100.0
2018,Proportion of population covered by at least one social protection benefit,,100.0
2019,Proportion of population covered by at least one social protection benefit,,100.0
2020,Proportion of population covered by at least one social protection benefit,,100.0
2021,Proportion of population covered by at least one social protection benefit,,100.0
2022,Proportion of population covered by at least one social protection benefit,,100.0
2023,Proportion of population covered by at least one social protection benefit,,100.0
2024,Proportion of population covered by at least one social protection benefit,,100.0
2025,Proportion of population covered by at least one social protection benefit,,100.0
2015,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,63.3
2016,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,63.0
2017,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,61.7
2018,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,61.3
2019,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,60.6
2020,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,59.2
2021,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,61.3
2022,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,65.6
2023,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,64.5
2024,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,62.3
2025,Proportion of population with severe disabilities receiving disability cash benefit,Both Sexes,62.1
2015,Proportion of population with severe disabilities receiving disability cash benefit,Females,55.9
2016,Proportion of population with severe disabilities receiving disability cash benefit,Females,57.2
2017,Proportion of population with severe disabilities receiving disability cash benefit,Females,57.7
2018,Proportion of population with severe disabilities receiving disability cash benefit,Females,60.0
2019,Proportion of population with severe disabilities receiving disability cash benefit,Females,62.1
2020,Proportion of population with severe disabilities receiving disability cash benefit,Females,64.1
2021,Proportion of population with severe disabilities receiving disability cash benefit,Females,67.8
2022,Proportion of population with severe disabilities receiving disability cash benefit,Females,74.1
2023,Proportion of population with severe disabilities receiving disability cash benefit,Females,76.0
2024,Proportion of population with severe disabilities receiving disability cash benefit,Females,75.9
2025,Proportion of population with severe disabilities receiving disability cash benefit,Females,76.9
2015,Proportion of population with severe disabilities receiving disability cash benefit,Males,70.7
2016,Proportion of population with severe disabilities receiving disability cash benefit,Males,68.8
2017,Proportion of population with severe disabilities receiving disability cash benefit,Males,65.6
2018,Proportion of population with severe disabilities receiving disability cash benefit,Males,62.4
2019,Proportion of population with severe disabilities receiving disability cash benefit,Males,59.1
2020,Proportion of population with severe disabilities receiving disability cash benefit,Males,54.7
2021,Proportion of population with severe disabilities receiving disability cash benefit,Males,55.3
2022,Proportion of population with severe disabilities receiving disability cash benefit,Males,57.7
2023,Proportion of population with severe disabilities receiving disability cash benefit,Males,54.1
2024,Proportion of population with severe disabilities receiving disability cash benefit,Males,50.3
2025,Proportion of population with severe disabilities receiving disability cash benefit,Males,49.1
