Year,Series,Sex,Age,Citizenship,Value
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.0
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.3
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,7.4
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.7
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.3
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.6
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,7.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.6
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.7
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.7
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.3
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.9
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,8.4
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,All Ages,,11.1
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.1
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,7.7
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.9
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.4
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,7.4
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.8
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,9.2
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.9
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.9
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,9.3
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,8.8
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Females,All Ages,,11.4
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,7.9
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,7.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,7.2
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.5
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.5
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.9
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.1
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.4
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.3
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.6
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,7.7
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,8.4
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,7.9
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Males,All Ages,,10.8
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,10.3
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,11.8
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,10.1
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,14.5
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,15.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,14.5
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,10.8
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,13.5
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,13.3
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,12.5
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,11.5
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,12.7
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,12.2
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,< 18Y,,15.6
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.0
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.0
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,6.4
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.5
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.1
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.1
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,6.6
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.0
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.7
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.4
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.3
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,7.8
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,6.7
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,18-64,,8.8
2010,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.5
2011,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.7
2012,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.0
2013,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,6.8
2014,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,5.8
2015,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,8.4
2016,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,8.9
2017,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.3
2018,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,8.3
2019,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.9
2020,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.1
2021,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,9.2
2022,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,10.8
2023,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",Both Sexes,65+,,15.7
2010,At-risk-of poverty rate (AROP) by citizenship,,,Maltese,13.8
