Year,Series,Food waste sector,Units,Value
2020,Food waste,Retail (and other distribution of food),Tonnes,3910
2020,Food waste,Out-of-home consumption (restaurants and food services),Tonnes,23016
2020,Food waste,Households,Tonnes,47235
2020,Food waste,All food waste sectors,Tonnes,82628
2021,Food waste,Retail (and other distribution of food),Tonnes,3869
2021,Food waste,Out-of-home consumption (restaurants and food services),Tonnes,23126
2021,Food waste,Households,Tonnes,45570
2021,Food waste,All food waste sectors,Tonnes,80933
2022,Food waste,Retail (and other distribution of food),Tonnes,4716
2022,Food waste,Out-of-home consumption (restaurants and food services),Tonnes,26934
2022,Food waste,Households,Tonnes,46720
2022,Food waste,All food waste sectors,Tonnes,86295
2023,Food waste,Retail (and other distribution of food),Tonnes,2414
2023,Food waste,Out-of-home consumption (restaurants and food services),Tonnes,16938
2023,Food waste,Households,Tonnes,45565
2023,Food waste,All food waste sectors,Tonnes,70696
2020,Food waste per capita,Retail (and other distribution of food),Kilograms,8
2020,Food waste per capita,Out-of-home consumption (restaurants and food services),Kilograms,45
2020,Food waste per capita,Households,Kilograms,92
2020,Food waste per capita,All food waste sectors,Kilograms,160
2021,Food waste per capita,Retail (and other distribution of food),Kilograms,7
2021,Food waste per capita,Out-of-home consumption (restaurants and food services),Kilograms,45
2021,Food waste per capita,Households,Kilograms,88
2021,Food waste per capita,All food waste sectors,Kilograms,156
2022,Food waste per capita,Retail (and other distribution of food),Kilograms,9
2022,Food waste per capita,Out-of-home consumption (restaurants and food services),Kilograms,51
2022,Food waste per capita,Households,Kilograms,88
2022,Food waste per capita,All food waste sectors,Kilograms,162
2023,Food waste per capita,Retail (and other distribution of food),Kilograms,4
2023,Food waste per capita,Out-of-home consumption (restaurants and food services),Kilograms,31
2023,Food waste per capita,Households,Kilograms,82
2023,Food waste per capita,All food waste sectors,Kilograms,128
