Year,Series,Value
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),1
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),1
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),1
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),1
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),2
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),7
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),8
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),2
