Year,Series,Units,Value
2010,Forest area as a proportion of total land area,Percentage,1.09
2015,Forest area as a proportion of total land area,Percentage,1.09
2020,Forest area as a proportion of total land area,Percentage,1.44
2025,Forest area as a proportion of total land area,Percentage,1.47
2010,Forest area,thousands of hectares,0.35
2015,Forest area,thousands of hectares,0.35
2020,Forest area,thousands of hectares,0.46
2025,Forest area,thousands of hectares,0.47
2010,Land area,thousands of hectares,32.0
2015,Land area,thousands of hectares,32.0
2020,Land area,thousands of hectares,32.0
2025,Land area,thousands of hectares,32.0
