Year,Series,Sex,Units,Value
2010,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.96
2011,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.72
2012,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",2.86
2013,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.65
2014,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.38
2015,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.9
2016,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.1
2017,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.93
2018,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.66
2019,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.99
2020,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.36
2021,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.39
2022,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",1.51
2023,"Number of victims of intentional homicide per 100,000 population",Both Sexes,"Per 100,000 mid-year population",0.54
2010,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.48
2011,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",1.43
2012,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",1.42
2013,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.0
2014,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.46
2015,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.91
2016,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.89
2017,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.43
2018,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",1.69
2019,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",1.23
2020,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.4
2021,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.0
2022,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",1.18
2023,"Number of victims of intentional homicide per 100,000 population",Females,"Per 100,000 mid-year population",0.77
2010,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",1.45
2011,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",0.0
2012,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",4.31
2013,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",3.3
2014,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",2.3
2015,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",0.9
2016,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",1.31
2017,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",3.39
2018,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",1.63
2019,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",0.77
2020,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",2.25
2021,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",0.74
2022,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",1.8
2023,"Number of victims of intentional homicide per 100,000 population",Males,"Per 100,000 mid-year population",0.34
2010,Number of victims of intentional homicide,Both Sexes,Number of victims,4.0
2011,Number of victims of intentional homicide,Both Sexes,Number of victims,3.0
2012,Number of victims of intentional homicide,Both Sexes,Number of victims,12.0
2013,Number of victims of intentional homicide,Both Sexes,Number of victims,7.0
2014,Number of victims of intentional homicide,Both Sexes,Number of victims,6.0
2015,Number of victims of intentional homicide,Both Sexes,Number of victims,4.0
2016,Number of victims of intentional homicide,Both Sexes,Number of victims,5.0
2017,Number of victims of intentional homicide,Both Sexes,Number of victims,9.0
2018,Number of victims of intentional homicide,Both Sexes,Number of victims,8.0
2019,Number of victims of intentional homicide,Both Sexes,Number of victims,5.0
2020,Number of victims of intentional homicide,Both Sexes,Number of victims,7.0
2021,Number of victims of intentional homicide,Both Sexes,Number of victims,2.0
2022,Number of victims of intentional homicide,Both Sexes,Number of victims,8.0
2023,Number of victims of intentional homicide,Both Sexes,Number of victims,3.0
2010,Number of victims of intentional homicide,Females,Number of victims,1.0
2011,Number of victims of intentional homicide,Females,Number of victims,3.0
2012,Number of victims of intentional homicide,Females,Number of victims,3.0
2013,Number of victims of intentional homicide,Females,Number of victims,0.0
2014,Number of victims of intentional homicide,Females,Number of victims,1.0
2015,Number of victims of intentional homicide,Females,Number of victims,2.0
2016,Number of victims of intentional homicide,Females,Number of victims,2.0
2017,Number of victims of intentional homicide,Females,Number of victims,1.0
2018,Number of victims of intentional homicide,Females,Number of victims,4.0
2019,Number of victims of intentional homicide,Females,Number of victims,3.0
2020,Number of victims of intentional homicide,Females,Number of victims,1.0
2021,Number of victims of intentional homicide,Females,Number of victims,0.0
2022,Number of victims of intentional homicide,Females,Number of victims,3.0
2023,Number of victims of intentional homicide,Females,Number of victims,2.0
2010,Number of victims of intentional homicide,Males,Number of victims,3.0
2011,Number of victims of intentional homicide,Males,Number of victims,0.0
2012,Number of victims of intentional homicide,Males,Number of victims,9.0
2013,Number of victims of intentional homicide,Males,Number of victims,7.0
2014,Number of victims of intentional homicide,Males,Number of victims,5.0
2015,Number of victims of intentional homicide,Males,Number of victims,2.0
2016,Number of victims of intentional homicide,Males,Number of victims,3.0
2017,Number of victims of intentional homicide,Males,Number of victims,8.0
2018,Number of victims of intentional homicide,Males,Number of victims,4.0
2019,Number of victims of intentional homicide,Males,Number of victims,2.0
2020,Number of victims of intentional homicide,Males,Number of victims,6.0
2021,Number of victims of intentional homicide,Males,Number of victims,2.0
2022,Number of victims of intentional homicide,Males,Number of victims,5.0
2023,Number of victims of intentional homicide,Males,Number of victims,1.0
