Year,Sex,Value
2016,Both Sexes,23.0
2017,Both Sexes,28.9
2018,Both Sexes,29.6
2019,Both Sexes,32.5
2020,Both Sexes,30.1
2021,Both Sexes,31.6
2022,Both Sexes,37.9
2023,Both Sexes,40.9
2024,Both Sexes,38.2
2016,Females,32.4
2017,Females,37.9
2018,Females,31.9
2019,Females,22.2
2020,Females,32.8
2021,Females,29.6
2022,Females,50.9
2023,Females,41.3
2024,Females,42.4
2016,Males,22.3
2017,Males,28.0
2018,Males,29.3
2019,Males,33.4
2020,Males,29.9
2021,Males,31.8
2022,Males,36.6
2023,Males,40.9
2024,Males,37.8
