Year,Series,Age,Sex,Type of Occupation,Court Level,Units,Value
2021,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2022,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2023,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.0
2024,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.0
2025,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.04
2022,2. Proportion of positions in the public service compared to national distributions,<35Y,Both Sexes,Total national-level public service personnel,,Ratio,0.93
2023,2. Proportion of positions in the public service compared to national distributions,<35Y,Both Sexes,Total national-level public service personnel,,Ratio,0.97
2024,2. Proportion of positions in the public service compared to national distributions,<35Y,Both Sexes,Total national-level public service personnel,,Ratio,0.85
2025,2. Proportion of positions in the public service compared to national distributions,<35Y,Both Sexes,Total national-level public service personnel,,Ratio,0.88
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.35
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.27
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.08
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.42
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.24
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.08
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.46
2022,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.24
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.16
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.61
2023,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.35
2024,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.18
2024,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.09
2024,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.74
2024,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.44
2021,1. Proportion of positions in parliament compared to national distributions,All Ages,Females,,,Ratio,0.27
2022,1. Proportion of positions in parliament compared to national distributions,All Ages,Females,,,Ratio,0.27
2023,1. Proportion of positions in parliament compared to national distributions,All Ages,Females,,,Ratio,0.58
2024,1. Proportion of positions in parliament compared to national distributions,All Ages,Females,,,Ratio,0.58
2025,1. Proportion of positions in parliament compared to national distributions,All Ages,Females,,,Ratio,0.58
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Clerical Support Workers,,Ratio,1.42
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Clerical Support Workers,,Ratio,1.44
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Clerical Support Workers,,Ratio,1.45
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Clerical Support Workers,,Ratio,1.46
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Clerical Support Workers,,Ratio,0.58
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Clerical Support Workers,,Ratio,0.56
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Clerical Support Workers,,Ratio,0.55
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Clerical Support Workers,,Ratio,0.54
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Managers,,Ratio,0.98
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Managers,,Ratio,0.98
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Managers,,Ratio,0.99
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Managers,,Ratio,1.0
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Managers,,Ratio,1.02
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Managers,,Ratio,1.02
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Managers,,Ratio,1.01
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Managers,,Ratio,1.0
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Professionals,,Ratio,1.38
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Professionals,,Ratio,1.38
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Professionals,,Ratio,1.39
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Professionals,,Ratio,1.39
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Professionals,,Ratio,0.62
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Professionals,,Ratio,0.62
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Professionals,,Ratio,0.61
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Professionals,,Ratio,0.61
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Technicians and Associate Professionals,,Ratio,1.07
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Technicians and Associate Professionals,,Ratio,1.08
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Technicians and Associate Professionals,,Ratio,1.1
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Females,Technicians and Associate Professionals,,Ratio,1.1
2022,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Technicians and Associate Professionals,,Ratio,0.93
2023,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Technicians and Associate Professionals,,Ratio,0.92
2024,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Technicians and Associate Professionals,,Ratio,0.9
2025,2. Proportion of positions in the public service compared to national distributions,All Ages,Males,Technicians and Associate Professionals,,Ratio,0.9
