Year,Series,Value
2010,1. Number of local breeds kept in the country,2
2011,1. Number of local breeds kept in the country,2
2012,1. Number of local breeds kept in the country,2
2013,1. Number of local breeds kept in the country,2
2014,1. Number of local breeds kept in the country,2
2015,1. Number of local breeds kept in the country,2
2016,1. Number of local breeds kept in the country,2
2017,1. Number of local breeds kept in the country,2
2018,1. Number of local breeds kept in the country,2
2019,1. Number of local breeds kept in the country,2
2020,1. Number of local breeds kept in the country,2
2021,1. Number of local breeds kept in the country,2
2022,1. Number of local breeds kept in the country,2
2023,1. Number of local breeds kept in the country,3
2024,1. Number of local breeds kept in the country,3
2010,2. Number of transboundary breeds (including extinct ones),5
2011,2. Number of transboundary breeds (including extinct ones),5
2012,2. Number of transboundary breeds (including extinct ones),5
2013,2. Number of transboundary breeds (including extinct ones),5
2014,2. Number of transboundary breeds (including extinct ones),5
2015,2. Number of transboundary breeds (including extinct ones),5
2016,2. Number of transboundary breeds (including extinct ones),5
2017,2. Number of transboundary breeds (including extinct ones),5
2018,2. Number of transboundary breeds (including extinct ones),5
2019,2. Number of transboundary breeds (including extinct ones),5
2020,2. Number of transboundary breeds (including extinct ones),5
2021,2. Number of transboundary breeds (including extinct ones),5
2022,2. Number of transboundary breeds (including extinct ones),5
2023,2. Number of transboundary breeds (including extinct ones),7
2024,2. Number of transboundary breeds (including extinct ones),7
2023,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution,0
2024,3. Number of local breeds for which sufficient genetic resources are stored for reconstitution,0
2010,4. Plant genetic resources accessions stored ex situ,9
2012,4. Plant genetic resources accessions stored ex situ,11
2014,4. Plant genetic resources accessions stored ex situ,66
2016,4. Plant genetic resources accessions stored ex situ,94
2017,4. Plant genetic resources accessions stored ex situ,105
2018,4. Plant genetic resources accessions stored ex situ,121
2019,4. Plant genetic resources accessions stored ex situ,125
2020,4. Plant genetic resources accessions stored ex situ,127
2021,4. Plant genetic resources accessions stored ex situ,127
2022,4. Plant genetic resources accessions stored ex situ,127
