Year,Series,Sex,Frequency,Age,Method used,Value
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,15+,,13.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,15+,,6.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,15+,,9.7
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,15+,,5.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,15+,,65.3
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Always,15+,,14.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Frequently,15+,,5.9
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Sometimes,15+,,9.0
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Rarely,15+,,4.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Never,15+,,66.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Always,15+,,12.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Frequently,15+,,6.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Sometimes,15+,,10.6
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Rarely,15+,,6.7
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Never,15+,,64.1
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,15+,,16.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,15+,,8.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,15+,,9.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,15+,,6.0
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,15+,,59.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Always,15+,,17.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Frequently,15+,,8.4
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Sometimes,15+,,8.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Rarely,15+,,5.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Never,15+,,59.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Always,15+,,15.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Frequently,15+,,8.1
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Sometimes,15+,,9.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Rarely,15+,,6.4
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Never,15+,,60.4
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,15+,,20.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,15+,,11.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,15+,,8.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,15+,,6.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,15+,,53.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,Females,Always,15+,,21.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Females,Frequently,15+,,9.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,Females,Sometimes,15+,,6.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Females,Rarely,15+,,5.7
2019,Frequency of contraception use in the past 12 months among the sexually active population,Females,Never,15+,,56.4
2019,Frequency of contraception use in the past 12 months among the sexually active population,Males,Always,15+,,19.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Males,Frequently,15+,,13.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Males,Sometimes,15+,,10.0
2019,Frequency of contraception use in the past 12 months among the sexually active population,Males,Rarely,15+,,6.4
2019,Frequency of contraception use in the past 12 months among the sexually active population,Males,Never,15+,,50.3
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,<=39,,22.6
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,<=39,,11.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,<=39,,13.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,<=39,,8.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,<=39,,44.1
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,40-59,,9.9
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,40-59,,4.0
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,40-59,,8.7
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,40-59,,4.1
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,40-59,,73.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,60+,,2.0
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,60+,,0.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,60+,,4.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,60+,,2.3
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,60+,,90.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,<=39,,27.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,<=39,,12.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,<=39,,13.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,<=39,,8.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,<=39,,37.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,40-59,,11.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,40-59,,6.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,40-59,,8.0
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,40-59,,4.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,40-59,,68.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,60+,,0.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,60+,,1.0
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,60+,,2.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,60+,,1.6
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,60+,,94.0
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,<=39,,30.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,<=39,,16.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,<=39,,10.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,<=39,,7.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,<=39,,35.2
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,40-59,,16.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,40-59,,9.0
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,40-59,,7.5
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,40-59,,4.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,40-59,,62.8
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,60+,,3.0
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,60+,,1.7
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,60+,,4.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,60+,,5.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,60+,,85.3
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Natural family planning,8.2
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Withdrawal,36.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Contraceptive pill,21.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Cap/diaphragm,0.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Coil,1.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Intra Uterine System,2.8
2014,Contraception method used among individuals who used contraception in the past 12 months,,,<=39,Condom,70.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Natural family planning,8.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Withdrawal,40.5
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Contraceptive pill,7.1
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Cap/diaphragm,0.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Coil,8.9
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Intra Uterine System,7.4
2014,Contraception method used among individuals who used contraception in the past 12 months,,,40-59,Condom,58.6
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Natural family planning,10.0
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Withdrawal,36.7
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Contraceptive pill,0.0
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Cap/diaphragm,0.0
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Coil,3.3
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Intra Uterine System,3.3
2014,Contraception method used among individuals who used contraception in the past 12 months,,,60+,Condom,40.0
