Year,Sex,Education level,Minimum proficiency,Value
2011,Both Sexes,Primary,Mathematics,78.2
2011,Females,Primary,Mathematics,62.3
2011,Males,Primary,Mathematics,63.9
2011,Both Sexes,Primary,Reading,63.1
2011,Females,Primary,Reading,81.6
2011,Males,Primary,Reading,75.4
2015,Both Sexes,Lower Secondary,Mathematics,70.9
2015,Both Sexes,Lower Secondary,Reading,64.4
2015,Females,Lower Secondary,Reading,72.1
2015,Males,Lower Secondary,Reading,57.0
2016,Both Sexes,Primary,Reading,73.2
2016,Females,Primary,Reading,77.8
2016,Males,Primary,Reading,69.1
2018,Both Sexes,Lower Secondary,Mathematics,69.8
2018,Both Sexes,Lower Secondary,Reading,64.1
2018,Females,Lower Secondary,Reading,74.0
2018,Males,Lower Secondary,Reading,55.1
2019,Both Sexes,Primary,Mathematics,69.1
2019,Females,Primary,Mathematics,68.0
2019,Males,Primary,Mathematics,70.1
2021,Both Sexes,Primary,Reading,90.24
2021,Females,Primary,Reading,91.0
2021,Males,Primary,Reading,89.6
2022,Both Sexes,Lower Secondary,Mathematics,67.4
2022,Females,Lower Secondary,Mathematics,69.5
2022,Males,Lower Secondary,Mathematics,65.4
2022,Both Sexes,Lower Secondary,Reading,63.7
2022,Females,Lower Secondary,Reading,71.0
2022,Males,Lower Secondary,Reading,56.8
