Year,Level of digital skills,Sex,Value
2015,above basic overall digital skills,Both Sexes,35
2016,above basic overall digital skills,Both Sexes,32
2017,above basic overall digital skills,Both Sexes,39
2019,above basic overall digital skills,Both Sexes,38
2020,above basic overall digital skills,Both Sexes,39
2021,above basic overall digital skills,Both Sexes,35
2015,basic or above basic overall digital skills,Both Sexes,53
2016,basic or above basic overall digital skills,Both Sexes,50
2017,basic or above basic overall digital skills,Both Sexes,57
2019,basic or above basic overall digital skills,Both Sexes,56
2020,basic or above basic overall digital skills,Both Sexes,57
2021,basic or above basic overall digital skills,Both Sexes,61
2015,basic overall digital skills,Both Sexes,18
2016,basic overall digital skills,Both Sexes,18
2017,basic overall digital skills,Both Sexes,18
2019,basic overall digital skills,Both Sexes,18
2020,basic overall digital skills,Both Sexes,18
2021,basic overall digital skills,Both Sexes,26
2015,low overall digital skills,Both Sexes,23
2016,low overall digital skills,Both Sexes,27
2017,low overall digital skills,Both Sexes,23
2019,low overall digital skills,Both Sexes,29
2020,low overall digital skills,Both Sexes,29
2021,low overall digital skills,Both Sexes,25
2015,no overall digital skills,Both Sexes,1
2016,no overall digital skills,Both Sexes,1
2017,no overall digital skills,Both Sexes,1
2019,no overall digital skills,Both Sexes,1
2020,no overall digital skills,Both Sexes,1
2021,no overall digital skills,Both Sexes,1
2015,Never used the internet,Both Sexes,23
2016,Never used the internet,Both Sexes,22
2017,Never used the internet,Both Sexes,19
2019,Never used the internet,Both Sexes,14
2020,Never used the internet,Both Sexes,12
2021,Never used the internet,Both Sexes,13
2015,low overall digital skills,Females,25
2016,low overall digital skills,Females,28
2017,low overall digital skills,Females,23
2019,low overall digital skills,Females,30
2020,low overall digital skills,Females,28
2021,low overall digital skills,Females,25
2015,basic overall digital skills,Females,18
2016,basic overall digital skills,Females,17
2017,basic overall digital skills,Females,18
2019,basic overall digital skills,Females,18
2020,basic overall digital skills,Females,18
2021,basic overall digital skills,Females,25
2015,above basic overall digital skills,Females,32
2016,above basic overall digital skills,Females,32
2017,above basic overall digital skills,Females,38
2019,above basic overall digital skills,Females,37
2020,above basic overall digital skills,Females,40
2021,above basic overall digital skills,Females,35
2015,basic or above basic overall digital skills,Females,49
2016,basic or above basic overall digital skills,Females,49
2017,basic or above basic overall digital skills,Females,56
2019,basic or above basic overall digital skills,Females,55
2020,basic or above basic overall digital skills,Females,58
2021,basic or above basic overall digital skills,Females,61
2015,no overall digital skills,Females,1
2016,no overall digital skills,Females,1
2017,no overall digital skills,Females,0
2019,no overall digital skills,Females,1
2020,no overall digital skills,Females,1
2021,no overall digital skills,Females,2
2015,Never used the internet,Females,24
2016,Never used the internet,Females,22
2017,Never used the internet,Females,21
2019,Never used the internet,Females,14
2020,Never used the internet,Females,13
2021,Never used the internet,Females,12
2015,low overall digital skills,Males,21
2016,low overall digital skills,Males,26
2017,low overall digital skills,Males,23
2019,low overall digital skills,Males,29
2020,low overall digital skills,Males,30
2021,low overall digital skills,Males,24
2015,basic overall digital skills,Males,18
2016,basic overall digital skills,Males,18
2017,basic overall digital skills,Males,17
2019,basic overall digital skills,Males,17
2020,basic overall digital skills,Males,17
2021,basic overall digital skills,Males,35
2015,above basic overall digital skills,Males,37
2016,above basic overall digital skills,Males,32
2017,above basic overall digital skills,Males,40
2019,above basic overall digital skills,Males,40
2020,above basic overall digital skills,Males,39
2021,above basic overall digital skills,Males,26
2015,basic or above basic overall digital skills,Males,56
2016,basic or above basic overall digital skills,Males,50
2017,basic or above basic overall digital skills,Males,57
2019,basic or above basic overall digital skills,Males,57
2020,basic or above basic overall digital skills,Males,56
2021,basic or above basic overall digital skills,Males,62
2015,no overall digital skills,Males,1
2016,no overall digital skills,Males,2
2017,no overall digital skills,Males,2
2019,no overall digital skills,Males,0
2020,no overall digital skills,Males,2
2021,no overall digital skills,Males,1
2015,Never used the internet,Males,23
2016,Never used the internet,Males,22
2017,Never used the internet,Males,18
2019,Never used the internet,Males,14
2020,Never used the internet,Males,12
2021,Never used the internet,Males,13
