Year,Series,Education level,Institution type,Value
2015,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2016,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2017,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2018,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2019,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2020,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2021,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2022,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2023,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2024,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2025,Proportion of schools with access to computers for pedagogical purposes,Primary,,100
2015,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2016,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2017,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2018,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2019,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2020,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2021,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2022,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2023,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2024,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2025,Proportion of schools with access to computers for pedagogical purposes,Lower Secondary,,100
2015,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2016,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2017,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2018,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2019,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2020,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2021,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2022,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2023,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2024,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2025,Proportion of schools with access to computers for pedagogical purposes,Upper Secondary,,100
2015,Proportion of schools with access to basic drinking water,Primary,,100
2016,Proportion of schools with access to basic drinking water,Primary,,100
2017,Proportion of schools with access to basic drinking water,Primary,,100
2018,Proportion of schools with access to basic drinking water,Primary,,100
2019,Proportion of schools with access to basic drinking water,Primary,,100
2020,Proportion of schools with access to basic drinking water,Primary,,100
2021,Proportion of schools with access to basic drinking water,Primary,,100
2022,Proportion of schools with access to basic drinking water,Primary,,100
2023,Proportion of schools with access to basic drinking water,Primary,,100
2024,Proportion of schools with access to basic drinking water,Primary,,100
2025,Proportion of schools with access to basic drinking water,Primary,,100
2015,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2016,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2017,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2018,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2019,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2020,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2021,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2022,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2023,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2024,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2025,Proportion of schools with access to basic drinking water,Lower Secondary,,100
2015,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2016,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2017,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2018,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2019,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2020,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2021,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2022,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2023,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2024,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2025,Proportion of schools with access to basic drinking water,Upper Secondary,,100
2015,Proportion of schools with access to electricity,Primary,,100
2016,Proportion of schools with access to electricity,Primary,,100
2017,Proportion of schools with access to electricity,Primary,,100
2018,Proportion of schools with access to electricity,Primary,,100
2019,Proportion of schools with access to electricity,Primary,,100
2020,Proportion of schools with access to electricity,Primary,,100
2021,Proportion of schools with access to electricity,Primary,,100
2022,Proportion of schools with access to electricity,Primary,,100
2023,Proportion of schools with access to electricity,Primary,,100
2024,Proportion of schools with access to electricity,Primary,,100
2025,Proportion of schools with access to electricity,Primary,,100
2015,Proportion of schools with access to electricity,Lower Secondary,,100
2016,Proportion of schools with access to electricity,Lower Secondary,,100
2017,Proportion of schools with access to electricity,Lower Secondary,,100
2018,Proportion of schools with access to electricity,Lower Secondary,,100
2019,Proportion of schools with access to electricity,Lower Secondary,,100
2020,Proportion of schools with access to electricity,Lower Secondary,,100
2021,Proportion of schools with access to electricity,Lower Secondary,,100
2022,Proportion of schools with access to electricity,Lower Secondary,,100
2023,Proportion of schools with access to electricity,Lower Secondary,,100
2024,Proportion of schools with access to electricity,Lower Secondary,,100
2025,Proportion of schools with access to electricity,Lower Secondary,,100
2015,Proportion of schools with access to electricity,Upper Secondary,,100
2016,Proportion of schools with access to electricity,Upper Secondary,,100
2017,Proportion of schools with access to electricity,Upper Secondary,,100
2018,Proportion of schools with access to electricity,Upper Secondary,,100
2019,Proportion of schools with access to electricity,Upper Secondary,,100
2020,Proportion of schools with access to electricity,Upper Secondary,,100
2021,Proportion of schools with access to electricity,Upper Secondary,,100
2022,Proportion of schools with access to electricity,Upper Secondary,,100
2023,Proportion of schools with access to electricity,Upper Secondary,,100
2024,Proportion of schools with access to electricity,Upper Secondary,,100
2025,Proportion of schools with access to electricity,Upper Secondary,,100
2015,Proportion of schools with basic handwashing facilities,Primary,,100
2016,Proportion of schools with basic handwashing facilities,Primary,,100
2017,Proportion of schools with basic handwashing facilities,Primary,,100
2018,Proportion of schools with basic handwashing facilities,Primary,,100
2019,Proportion of schools with basic handwashing facilities,Primary,,100
2020,Proportion of schools with basic handwashing facilities,Primary,,100
2021,Proportion of schools with basic handwashing facilities,Primary,,100
2022,Proportion of schools with basic handwashing facilities,Primary,,100
2023,Proportion of schools with basic handwashing facilities,Primary,,100
2024,Proportion of schools with basic handwashing facilities,Primary,,100
