Year,Series,Activity,Units,Value
2010,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1316.64
2011,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1320.01
2012,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1325.95
2013,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1267.97
2014,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1216.34
2015,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1196.17
2016,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1223.64
2017,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1340.06
2018,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1437.7
2019,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1587.86
2020,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1567.03
2021,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1722.75
2022,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1787.74
2023,1. Water Use Efficiency (US dollars per cubic metre),Industries,US dollars per cubic metre,1849.34
2010,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,2.31
2011,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.9
2012,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.91
2013,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.68
2014,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.82
2015,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,2.09
2016,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,2.21
2017,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.52
2018,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.66
2019,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,1.45
2020,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,2.35
2021,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,3.34
2022,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,3.42
2023,1. Water Use Efficiency (US dollars per cubic metre),Agriculture,US dollars per cubic metre,3.42
2010,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,316.42
2011,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,362.65
2012,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,444.89
2013,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,463.81
2014,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,224.58
2015,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,246.1
2016,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,248.71
2017,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,281.31
2018,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,297.1
2019,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,297.52
2020,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,298.14
2021,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,342.94
2022,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,347.73
2023,1. Water Use Efficiency (US dollars per cubic metre),Services,US dollars per cubic metre,361.65
2010,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,189.38
2011,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,190.12
2012,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,199.41
2013,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,185.72
2014,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,141.44
2015,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,161.19
2016,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,164.14
2017,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,178.65
2018,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,197.57
2019,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,209.95
2020,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,205.7
2021,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,240.38
2022,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,252.13
2023,1. Water Use Efficiency (US dollars per cubic metre),Total,US dollars per cubic metre,264.7
2010,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2518.17
2011,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2360.41
2012,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2325.4
2013,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2471.34
2014,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2427.78
2015,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2569.03
2016,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2673.66
2017,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2781.38
2018,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,3035.04
2019,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,3249.52
2020,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,3758.49
2021,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,4486.24
2022,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,3222.27
2023,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,2511.8
2024,2. Water Use Efficiency (Euros per cubic metre),Industries,Euros per cubic metre,3190.69
2010,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.52
2011,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.56
2012,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.47
2013,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.23
2014,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.42
2015,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.55
2016,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.41
2017,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.4
2018,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.34
2019,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.35
2020,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.15
2021,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.1
2022,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.06
2023,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,1.1
2024,2. Water Use Efficiency (Euros per cubic metre),Agriculture,Euros per cubic metre,0.99
2010,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,185.62
2011,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,180.78
2012,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,184.76
2013,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,201.58
2014,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,224.89
2015,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,241.1
2016,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,244.87
2017,2. Water Use Efficiency (Euros per cubic metre),Services,Euros per cubic metre,273.21
