Year,Sector,Value
2010,Non-agriculture,1.87
2011,Non-agriculture,2.21
2012,Non-agriculture,1.62
2013,Non-agriculture,0.56
2014,Non-agriculture,0.63
2015,Non-agriculture,0.85
2016,Non-agriculture,0.85
2017,Non-agriculture,0.9
2018,Non-agriculture,0.54
2019,Non-agriculture,0.51
2020,Non-agriculture,0.59
2021,Non-agriculture,0.74
2010,Total,1.99
2011,Total,2.2
2012,Total,1.63
2013,Total,0.59
2014,Total,0.63
2015,Total,0.85
2016,Total,0.85
2017,Total,0.99
2018,Total,0.68
2019,Total,0.63
2020,Total,0.63
2021,Total,0.74
