Year,Series,Age,Sex,Value
2010,1. Unemployment rate,15-24,Both Sexes,13.2
2010,1. Unemployment rate,15-24,Females,11.8
2010,1. Unemployment rate,15-24,Males,14.4
2011,1. Unemployment rate,15-24,Both Sexes,13.3
2011,1. Unemployment rate,15-24,Females,12.9
2011,1. Unemployment rate,15-24,Males,13.7
2012,1. Unemployment rate,15-24,Both Sexes,13.8
2012,1. Unemployment rate,15-24,Females,14.5
2012,1. Unemployment rate,15-24,Males,13.3
2013,1. Unemployment rate,15-24,Both Sexes,12.7
2013,1. Unemployment rate,15-24,Females,10.4
2013,1. Unemployment rate,15-24,Males,14.7
2014,1. Unemployment rate,15-24,Both Sexes,11.7
2014,1. Unemployment rate,15-24,Females,9.5
2014,1. Unemployment rate,15-24,Males,13.7
2015,1. Unemployment rate,15-24,Both Sexes,11.6
2015,1. Unemployment rate,15-24,Females,9.8
2015,1. Unemployment rate,15-24,Males,13.2
2016,1. Unemployment rate,15-24,Both Sexes,10.7
2016,1. Unemployment rate,15-24,Females,11.4
2016,1. Unemployment rate,15-24,Males,10.2
2017,1. Unemployment rate,15-24,Both Sexes,10.6
2017,1. Unemployment rate,15-24,Females,9.9
2017,1. Unemployment rate,15-24,Males,11.1
2018,1. Unemployment rate,15-24,Both Sexes,9.4
2018,1. Unemployment rate,15-24,Females,6.7
2018,1. Unemployment rate,15-24,Males,11.7
2019,1. Unemployment rate,15-24,Both Sexes,10.1
2019,1. Unemployment rate,15-24,Females,8.6
2019,1. Unemployment rate,15-24,Males,11.3
2020,1. Unemployment rate,15-24,Both Sexes,11.5
2020,1. Unemployment rate,15-24,Females,8.3
2020,1. Unemployment rate,15-24,Males,14.1
2021,1. Unemployment rate,15-24,Both Sexes,9.9
2021,1. Unemployment rate,15-24,Females,6.0
2021,1. Unemployment rate,15-24,Males,12.9
2022,1. Unemployment rate,15-24,Both Sexes,9.0
2022,1. Unemployment rate,15-24,Females,6.0
2022,1. Unemployment rate,15-24,Males,11.6
2023,1. Unemployment rate,15-24,Both Sexes,9.2
2023,1. Unemployment rate,15-24,Males,11.6
2024,1. Unemployment rate,15-24,Both Sexes,9.2
2024,1. Unemployment rate,15-24,Females,8.2
2024,1. Unemployment rate,15-24,Males,9.9
2025,1. Unemployment rate,15-24,Both Sexes,9.6
2025,1. Unemployment rate,15-24,Females,10.2
2025,1. Unemployment rate,15-24,Males,9.2
2010,1. Unemployment rate,15-74,Both Sexes,6.9
2010,1. Unemployment rate,15-74,Females,7.1
2010,1. Unemployment rate,15-74,Males,6.7
2011,1. Unemployment rate,15-74,Both Sexes,6.4
2011,1. Unemployment rate,15-74,Females,7.1
2011,1. Unemployment rate,15-74,Males,6.0
2012,1. Unemployment rate,15-74,Both Sexes,6.2
2012,1. Unemployment rate,15-74,Females,7.2
2012,1. Unemployment rate,15-74,Males,5.6
2013,1. Unemployment rate,15-74,Both Sexes,6.1
2013,1. Unemployment rate,15-74,Females,6.1
2013,1. Unemployment rate,15-74,Males,6.1
2014,1. Unemployment rate,15-74,Both Sexes,5.7
2014,1. Unemployment rate,15-74,Females,5.1
2014,1. Unemployment rate,15-74,Males,6.1
2015,1. Unemployment rate,15-74,Both Sexes,5.4
2015,1. Unemployment rate,15-74,Females,5.4
2015,1. Unemployment rate,15-74,Males,5.4
2016,1. Unemployment rate,15-74,Both Sexes,4.7
2016,1. Unemployment rate,15-74,Females,5.2
2016,1. Unemployment rate,15-74,Males,4.4
2017,1. Unemployment rate,15-74,Both Sexes,4.0
2017,1. Unemployment rate,15-74,Females,4.3
2017,1. Unemployment rate,15-74,Males,3.8
2018,1. Unemployment rate,15-74,Both Sexes,4.0
2018,1. Unemployment rate,15-74,Females,3.7
2018,1. Unemployment rate,15-74,Males,4.1
2019,1. Unemployment rate,15-74,Both Sexes,4.1
2019,1. Unemployment rate,15-74,Females,4.7
2019,1. Unemployment rate,15-74,Males,3.7
2020,1. Unemployment rate,15-74,Both Sexes,4.9
2020,1. Unemployment rate,15-74,Females,5.1
2020,1. Unemployment rate,15-74,Males,4.7
2021,1. Unemployment rate,15-74,Both Sexes,3.8
2021,1. Unemployment rate,15-74,Females,3.6
2021,1. Unemployment rate,15-74,Males,3.9
2022,1. Unemployment rate,15-74,Both Sexes,3.5
2022,1. Unemployment rate,15-74,Females,3.1
2022,1. Unemployment rate,15-74,Males,3.7
2023,1. Unemployment rate,15-74,Both Sexes,3.5
2023,1. Unemployment rate,15-74,Females,3.2
2023,1. Unemployment rate,15-74,Males,3.7
2024,1. Unemployment rate,15-74,Both Sexes,3.2
2024,1. Unemployment rate,15-74,Females,3.0
2024,1. Unemployment rate,15-74,Males,3.3
2025,1. Unemployment rate,15-74,Both Sexes,3.1
2025,1. Unemployment rate,15-74,Females,3.0
2025,1. Unemployment rate,15-74,Males,3.1
2010,1. Unemployment rate,25-74,Both Sexes,5.6
2010,1. Unemployment rate,25-74,Females,5.8
2010,1. Unemployment rate,25-74,Males,5.5
2011,1. Unemployment rate,25-74,Both Sexes,5.0
2011,1. Unemployment rate,25-74,Females,5.6
2011,1. Unemployment rate,25-74,Males,4.7
2012,1. Unemployment rate,25-74,Both Sexes,4.8
2012,1. Unemployment rate,25-74,Females,5.5
2012,1. Unemployment rate,25-74,Males,4.4
2013,1. Unemployment rate,25-74,Both Sexes,4.9
2013,1. Unemployment rate,25-74,Females,5.2
2013,1. Unemployment rate,25-74,Males,4.8
2014,1. Unemployment rate,25-74,Both Sexes,4.7
2014,1. Unemployment rate,25-74,Females,4.2
2014,1. Unemployment rate,25-74,Males,5.1
2015,1. Unemployment rate,25-74,Both Sexes,4.4
2015,1. Unemployment rate,25-74,Females,4.5
2015,1. Unemployment rate,25-74,Males,4.3
2016,1. Unemployment rate,25-74,Both Sexes,3.8
2016,1. Unemployment rate,25-74,Females,4.1
2016,1. Unemployment rate,25-74,Males,3.6
2017,1. Unemployment rate,25-74,Both Sexes,3.1
2017,1. Unemployment rate,25-74,Females,3.3
2017,1. Unemployment rate,25-74,Males,2.9
2018,1. Unemployment rate,25-74,Both Sexes,3.2
2018,1. Unemployment rate,25-74,Females,3.2
2018,1. Unemployment rate,25-74,Males,3.2
2019,1. Unemployment rate,25-74,Both Sexes,3.3
2019,1. Unemployment rate,25-74,Females,4.1
2019,1. Unemployment rate,25-74,Males,2.8
2020,1. Unemployment rate,25-74,Both Sexes,4.1
2020,1. Unemployment rate,25-74,Females,4.7
2020,1. Unemployment rate,25-74,Males,3.6
