Year,Sex,Value
2010,Both Sexes,9.5
2011,Both Sexes,10.2
2012,Both Sexes,10.8
2013,Both Sexes,9.9
2014,Both Sexes,10.3
2015,Both Sexes,10.5
2016,Both Sexes,8.8
2017,Both Sexes,8.6
2018,Both Sexes,7.4
2019,Both Sexes,9.1
2020,Both Sexes,9.6
2021,Both Sexes,10.6
2022,Both Sexes,7.2
2023,Both Sexes,8.2
2024,Both Sexes,7.6
2010,Males,8.2
2011,Males,9.7
2012,Males,10.2
2013,Males,9.7
2014,Males,8.8
2015,Males,9.3
2016,Males,6.9
2017,Males,8.4
2018,Males,6.9
2019,Males,8.4
2020,Males,11.0
2021,Males,11.6
2022,Males,8.2
2023,Males,8.3
2024,Males,7.6
2010,Females,10.9
2011,Females,10.7
2012,Females,11.5
2013,Females,10.1
2014,Females,11.9
2015,Females,11.9
2016,Females,10.8
2017,Females,8.8
2018,Females,7.9
2019,Females,10.0
2020,Females,8.0
2021,Females,9.4
2022,Females,6.0
2023,Females,8.2
2024,Females,7.6
