Year,Sex,Age,Value
2010,Both Sexes,All Ages,21.2
2010,Both Sexes,<18Y,26.7
2010,Both Sexes,18-64,19.6
2010,Both Sexes,65+,21.7
2011,Both Sexes,All Ages,22.1
2011,Both Sexes,<18Y,27.8
2011,Both Sexes,18-64,20.7
2011,Both Sexes,65+,21.0
2012,Both Sexes,All Ages,23.1
2012,Both Sexes,<18Y,31.0
2012,Both Sexes,18-64,21.1
2012,Both Sexes,65+,22.3
2013,Both Sexes,All Ages,24.6
2013,Both Sexes,<18Y,33.0
2013,Both Sexes,18-64,23.2
2013,Both Sexes,65+,20.9
2014,Both Sexes,All Ages,23.9
2014,Both Sexes,<18Y,31.8
2014,Both Sexes,18-64,21.8
2014,Both Sexes,65+,23.5
2015,Both Sexes,All Ages,23.0
2015,Both Sexes,<18Y,28.4
2015,Both Sexes,18-64,21.1
2015,Both Sexes,65+,24.3
2016,Both Sexes,All Ages,20.2
2016,Both Sexes,<18Y,23.7
2016,Both Sexes,18-64,17.4
2016,Both Sexes,65+,26.7
2017,Both Sexes,All Ages,19.4
2017,Both Sexes,<18Y,23.6
2017,Both Sexes,18-64,16.3
2017,Both Sexes,65+,26.5
2018,Both Sexes,All Ages,19.2
2018,Both Sexes,<18Y,23.3
2018,Both Sexes,18-64,15.7
2018,Both Sexes,65+,27.8
2019,Both Sexes,All Ages,20.7
2019,Both Sexes,<18Y,23.7
2019,Both Sexes,18-64,17.2
2019,Both Sexes,65+,30.7
2020,Both Sexes,All Ages,19.9
2020,Both Sexes,<18Y,22.3
2020,Both Sexes,18-64,17.0
2020,Both Sexes,65+,28.5
2021,Both Sexes,All Ages,20.3
2021,Both Sexes,<18Y,23.2
2021,Both Sexes,18-64,17.0
2021,Both Sexes,65+,29.9
2022,Both Sexes,All Ages,20.1
2022,Both Sexes,<18Y,23.1
2022,Both Sexes,18-64,15.5
2022,Both Sexes,65+,33.3
2023,Both Sexes,All Ages,19.8
2023,Both Sexes,<18Y,25.2
2023,Both Sexes,18-64,15.5
2023,Both Sexes,65+,31.4
2024,Both Sexes,All Ages,19.7
2024,Both Sexes,<18Y,25.9
2024,Both Sexes,18-64,15.2
2024,Both Sexes,65+,31.7
2010,Females,All Ages,22.4
2011,Females,All Ages,23.2
2012,Females,All Ages,24.3
2013,Females,All Ages,25.5
2014,Females,All Ages,24.7
2015,Females,All Ages,23.8
2016,Females,All Ages,20.7
2017,Females,All Ages,20.3
2018,Females,All Ages,21.1
2019,Females,All Ages,22.6
2020,Females,All Ages,21.8
2021,Females,All Ages,21.9
2022,Females,All Ages,21.3
2023,Females,All Ages,21.1
2024,Females,All Ages,21.5
2010,Males,All Ages,20.1
2011,Males,All Ages,20.9
2012,Males,All Ages,21.9
2013,Males,All Ages,23.8
2014,Males,All Ages,23.1
2015,Males,All Ages,22.2
2016,Males,All Ages,19.6
2017,Males,All Ages,18.5
2018,Males,All Ages,17.3
2019,Males,All Ages,19.0
2020,Males,All Ages,18.2
2021,Males,All Ages,18.9
2022,Males,All Ages,18.9
2023,Males,All Ages,18.7
2024,Males,All Ages,18.1
