Year,Series,Location,Mobile Network,Value
2010,1. Proportion of population using basic drinking water services,All Areas,,100.0
2010,1. Proportion of population using basic drinking water services,Rural,,100.0
2010,1. Proportion of population using basic drinking water services,Urban,,100.0
2011,1. Proportion of population using basic drinking water services,All Areas,,100.0
2011,1. Proportion of population using basic drinking water services,Rural,,100.0
2011,1. Proportion of population using basic drinking water services,Urban,,100.0
2012,1. Proportion of population using basic drinking water services,Urban,,100.0
2012,1. Proportion of population using basic drinking water services,Rural,,100.0
2012,1. Proportion of population using basic drinking water services,All Areas,,100.0
2013,1. Proportion of population using basic drinking water services,All Areas,,100.0
2013,1. Proportion of population using basic drinking water services,Rural,,100.0
2013,1. Proportion of population using basic drinking water services,Urban,,100.0
2014,1. Proportion of population using basic drinking water services,All Areas,,100.0
2014,1. Proportion of population using basic drinking water services,Urban,,100.0
2014,1. Proportion of population using basic drinking water services,Rural,,100.0
2015,1. Proportion of population using basic drinking water services,Rural,,100.0
2015,1. Proportion of population using basic drinking water services,All Areas,,100.0
2015,1. Proportion of population using basic drinking water services,Urban,,100.0
2016,1. Proportion of population using basic drinking water services,Rural,,100.0
2016,1. Proportion of population using basic drinking water services,All Areas,,100.0
2016,1. Proportion of population using basic drinking water services,Urban,,100.0
2017,1. Proportion of population using basic drinking water services,Urban,,100.0
2017,1. Proportion of population using basic drinking water services,Rural,,100.0
2017,1. Proportion of population using basic drinking water services,All Areas,,100.0
2018,1. Proportion of population using basic drinking water services,Urban,,100.0
2018,1. Proportion of population using basic drinking water services,Rural,,100.0
2018,1. Proportion of population using basic drinking water services,All Areas,,100.0
2019,1. Proportion of population using basic drinking water services,Urban,,100.0
2019,1. Proportion of population using basic drinking water services,Rural,,100.0
2019,1. Proportion of population using basic drinking water services,All Areas,,100.0
2020,1. Proportion of population using basic drinking water services,Rural,,100.0
2020,1. Proportion of population using basic drinking water services,Urban,,100.0
2020,1. Proportion of population using basic drinking water services,All Areas,,100.0
2021,1. Proportion of population using basic drinking water services,Rural,,100.0
2021,1. Proportion of population using basic drinking water services,All Areas,,100.0
2021,1. Proportion of population using basic drinking water services,Urban,,100.0
2022,1. Proportion of population using basic drinking water services,Urban,,100.0
2022,1. Proportion of population using basic drinking water services,All Areas,,100.0
2022,1. Proportion of population using basic drinking water services,Rural,,100.0
2010,2. Proportion of population using basic sanitation services,All Areas,,99.96472
2010,2. Proportion of population using basic sanitation services,Urban,,99.9625
2010,2. Proportion of population using basic sanitation services,Rural,,100.0
2011,2. Proportion of population using basic sanitation services,Urban,,99.9625
2011,2. Proportion of population using basic sanitation services,All Areas,,99.96469
2011,2. Proportion of population using basic sanitation services,Rural,,100.0
2012,2. Proportion of population using basic sanitation services,Rural,,100.0
2012,2. Proportion of population using basic sanitation services,All Areas,,99.96467
2012,2. Proportion of population using basic sanitation services,Urban,,99.9625
2013,2. Proportion of population using basic sanitation services,All Areas,,99.96464
2013,2. Proportion of population using basic sanitation services,Urban,,99.9625
2013,2. Proportion of population using basic sanitation services,Rural,,100.0
2014,2. Proportion of population using basic sanitation services,Rural,,100.0
2014,2. Proportion of population using basic sanitation services,All Areas,,99.96462
2014,2. Proportion of population using basic sanitation services,Urban,,99.9625
2015,2. Proportion of population using basic sanitation services,Rural,,100.0
2015,2. Proportion of population using basic sanitation services,All Areas,,99.96459
2015,2. Proportion of population using basic sanitation services,Urban,,99.9625
2016,2. Proportion of population using basic sanitation services,Rural,,100.0
2016,2. Proportion of population using basic sanitation services,All Areas,,99.96457
2016,2. Proportion of population using basic sanitation services,Urban,,99.9625
2017,2. Proportion of population using basic sanitation services,All Areas,,99.96455
2017,2. Proportion of population using basic sanitation services,Urban,,99.9625
2017,2. Proportion of population using basic sanitation services,Rural,,100.0
2018,2. Proportion of population using basic sanitation services,All Areas,,99.96452
2018,2. Proportion of population using basic sanitation services,Rural,,100.0
2018,2. Proportion of population using basic sanitation services,Urban,,99.9625
2019,2. Proportion of population using basic sanitation services,All Areas,,99.9645
2019,2. Proportion of population using basic sanitation services,Urban,,99.9625
2019,2. Proportion of population using basic sanitation services,Rural,,100.0
2020,2. Proportion of population using basic sanitation services,All Areas,,99.96447
2020,2. Proportion of population using basic sanitation services,Rural,,100.0
2020,2. Proportion of population using basic sanitation services,Urban,,99.9625
2021,2. Proportion of population using basic sanitation services,All Areas,,99.96445
