Year,Series,Sex,Units,Value
2016,1. Use of public transport (number of commuters),,Number of commuters,43253238.0
2017,1. Use of public transport (number of commuters),,Number of commuters,48053045.0
2018,1. Use of public transport (number of commuters),,Number of commuters,53467404.0
2019,1. Use of public transport (number of commuters),,Number of commuters,57409385.0
2020,1. Use of public transport (number of commuters),,Number of commuters,33778974.0
2021,1. Use of public transport (number of commuters),,Number of commuters,35207171.0
2022,1. Use of public transport (number of commuters),,Number of commuters,49222424.0
2023,1. Use of public transport (number of commuters),,Number of commuters,67241760.0
2024,1. Use of public transport (number of commuters),,Number of commuters,75773333.0
2015,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",741.0
2016,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",743.7
2017,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",738.4
2018,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",727.5
2019,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",708.7
2020,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",708.9
2021,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",712.8
2022,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",689.5
2023,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",673.9
2024,"2. Number of passenger cars per 1,000 residents aged 18 and over",,"Cars per 1,000 residents",673.0
2011,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",4.7
2012,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",3.08
2013,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",5.05
2014,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",2.5
2015,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",3.03
2016,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",5.88
2017,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",4.44
2018,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",3.71
2019,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",3.86
2020,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",2.62
2021,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",1.29
2022,"3. Death due to transport accidents, by sex",Both Sexes,"Per 100,000 inhabitants",5.6
2011,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",2.23
2012,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",0.93
2013,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",2.07
2014,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",1.81
2015,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",1.72
2016,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",2.68
2017,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",3.95
2018,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",1.72
2019,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",2.14
2020,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",1.16
2021,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",0.36
2022,"3. Death due to transport accidents, by sex",Females,"Per 100,000 inhabitants",1.95
2011,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",7.59
2012,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",5.57
2013,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",8.19
2014,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",2.99
2015,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",4.48
2016,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",9.64
2017,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",4.73
2018,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",6.43
2019,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",5.7
2020,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",3.97
2021,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",2.09
2022,"3. Death due to transport accidents, by sex",Males,"Per 100,000 inhabitants",9.18
