Year,Series,Value
2010,1. Marine waters affected by eutrophication,0.0
2011,1. Marine waters affected by eutrophication,0.0
2012,1. Marine waters affected by eutrophication,0.0
2013,1. Marine waters affected by eutrophication,0.0
2014,1. Marine waters affected by eutrophication,0.0
2015,1. Marine waters affected by eutrophication,0.0
2016,1. Marine waters affected by eutrophication,0.0
2017,1. Marine waters affected by eutrophication,0.0
2018,1. Marine waters affected by eutrophication,0.0
2019,1. Marine waters affected by eutrophication,0.0
2020,1. Marine waters affected by eutrophication,0.0
2021,1. Marine waters affected by eutrophication,0.0
2022,1. Marine waters affected by eutrophication,0.0
2023,1. Marine waters affected by eutrophication,0.0
2024,1. Marine waters affected by eutrophication,0.0
2011,2. Coastal bathing sites with excellent water quality,97.7
2012,2. Coastal bathing sites with excellent water quality,96.6
2013,2. Coastal bathing sites with excellent water quality,98.9
2014,2. Coastal bathing sites with excellent water quality,100.0
2015,2. Coastal bathing sites with excellent water quality,97.7
2016,2. Coastal bathing sites with excellent water quality,98.9
2017,2. Coastal bathing sites with excellent water quality,98.9
2018,2. Coastal bathing sites with excellent water quality,98.9
2019,2. Coastal bathing sites with excellent water quality,97.7
2020,2. Coastal bathing sites with excellent water quality,96.6
2021,2. Coastal bathing sites with excellent water quality,96.6
2022,2. Coastal bathing sites with excellent water quality,94.3
2023,2. Coastal bathing sites with excellent water quality,92.0
