Year,Series,Age,Sex,Type of Occupation,Court Level,Units,Value
2021,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2021,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.27
2022,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2022,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.27
2023,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.0
2023,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.58
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.98
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.38
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.07
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.42
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)",,Ratio,1.11
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.98
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.38
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.08
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.44
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)",,Ratio,1.12
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.99
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.39
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.1
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.45
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,"Total national-level public service personnel (including police, education, health, front-desk administrative and all other public service personnel)",,Ratio,1.13
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.38
2020,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.29
2020,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Constitutional Courts,Ratio,0.0
2020,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Higher Courts,Ratio,0.57
2020,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Lower Courts,Ratio,1.38
2020,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Total,Ratio,1.14
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Constitutional Courts,Ratio,0.0
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Higher Courts,Ratio,0.08
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Lower Courts,Ratio,0.42
2021,3. Proportion of positions in the judiciary compared to national distributions,<45Y,Both Sexes,,Total,Ratio,0.24
2021,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Constitutional Courts,Ratio,0.0
2021,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Higher Courts,Ratio,0.84
2021,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Lower Courts,Ratio,1.57
2021,3. Proportion of positions in the judiciary compared to national distributions,Total,Females,,Total,Ratio,1.11
