Year,Age,Sex,Value
2010,All Ages,Both Sexes,0.04
2010,All Ages,Females,0.01
2010,All Ages,Males,0.07
2010,15-24,Both Sexes,0.04
2010,15-24,Females,0.0
2010,15-24,Males,0.07
2010,15-49,Both Sexes,0.07
2010,15-49,Females,0.02
2010,15-49,Males,0.12
2010,50+,Both Sexes,0.02
2010,50+,Females,0.01
2010,50+,Males,0.03
2011,15-24,Both Sexes,0.0
2011,15-24,Females,0.0
2011,15-24,Males,0.0
2011,15-49,Both Sexes,0.1
2011,15-49,Females,0.02
2011,15-49,Males,0.18
2011,50+,Both Sexes,0.01
2011,50+,Females,0.0
2011,50+,Males,0.03
2011,All Ages,Both Sexes,0.06
2011,All Ages,Females,0.02
2011,All Ages,Males,0.1
2012,15-24,Both Sexes,0.09
2012,15-24,Females,0.07
2012,15-24,Males,0.1
2012,15-49,Both Sexes,0.1
2012,15-49,Females,0.04
2012,15-49,Males,0.16
2012,50+,Both Sexes,0.02
2012,50+,Females,0.0
2012,50+,Males,0.05
2012,All Ages,Both Sexes,0.08
2012,All Ages,Females,0.03
2012,All Ages,Males,0.12
2013,15-24,Both Sexes,0.09
2013,15-24,Females,0.04
2013,15-24,Males,0.14
2013,15-49,Both Sexes,0.15
2013,15-49,Females,0.04
2013,15-49,Males,0.25
2013,50+,Both Sexes,0.04
2013,50+,Females,0.02
2013,50+,Males,0.05
2013,All Ages,Both Sexes,0.09
2013,All Ages,Females,0.03
2013,All Ages,Males,0.15
2014,15-24,Both Sexes,0.07
2014,15-24,Females,0.0
2014,15-24,Males,0.14
2014,15-49,Both Sexes,0.13
2014,15-49,Females,0.01
2014,15-49,Males,0.24
2014,50+,Both Sexes,0.05
2014,50+,Females,0.01
2014,50+,Males,0.1
2014,All Ages,Both Sexes,0.09
2014,All Ages,Females,0.02
2014,All Ages,Males,0.17
2015,15-24,Both Sexes,0.04
2015,15-24,Females,0.0
2015,15-24,Males,0.07
2015,15-49,Both Sexes,0.18
2015,15-49,Females,0.01
2015,15-49,Males,0.33
2015,50+,Both Sexes,0.06
2015,50+,Females,0.03
2015,50+,Males,0.1
2015,All Ages,Both Sexes,0.13
2015,All Ages,Females,0.04
2015,All Ages,Males,0.23
2016,15-24,Both Sexes,0.09
2016,15-24,Females,0.04
2016,15-24,Males,0.14
2016,15-49,Both Sexes,0.18
2016,15-49,Females,0.08
2016,15-49,Males,0.27
2016,50+,Both Sexes,0.05
2016,50+,Females,0.0
2016,50+,Males,0.11
2016,All Ages,Both Sexes,0.13
2016,All Ages,Females,0.04
2016,All Ages,Males,0.21
2017,15-24,Both Sexes,0.02
2017,15-24,Females,0.04
2017,15-24,Males,0.0
2017,15-49,Both Sexes,0.14
2017,15-49,Females,0.09
2017,15-49,Males,0.2
2017,50+,Both Sexes,0.04
2017,50+,Females,0.01
2017,50+,Males,0.07
2017,All Ages,Both Sexes,0.1
2017,All Ages,Females,0.04
2017,All Ages,Males,0.15
2018,15-24,Both Sexes,0.11
2018,15-24,Females,0.0
2018,15-24,Males,0.21
2018,15-49,Both Sexes,0.21
2018,15-49,Females,0.07
2018,15-49,Males,0.34
2018,50+,Both Sexes,0.06
2018,50+,Females,0.01
2018,50+,Males,0.11
2018,All Ages,Both Sexes,0.15
2018,All Ages,Females,0.05
2018,All Ages,Males,0.25
2019,15-24,Both Sexes,0.13
2019,15-24,Females,0.12
2019,15-24,Males,0.14
2019,15-49,Both Sexes,0.2
2019,15-49,Females,0.09
2019,15-49,Males,0.3
2019,50+,Both Sexes,0.07
2019,50+,Females,0.03
2019,50+,Males,0.11
2019,All Ages,Both Sexes,0.16
2019,All Ages,Females,0.1
2019,All Ages,Males,0.21
2020,15-24,Both Sexes,0.15
2020,15-24,Females,0.08
2020,15-24,Males,0.21
2020,15-49,Both Sexes,0.27
2020,15-49,Females,0.1
2020,15-49,Males,0.4
2020,50+,Both Sexes,0.04
2020,50+,Females,0.01
2020,50+,Males,0.08
2020,All Ages,Both Sexes,0.16
2020,All Ages,Females,0.06
2020,All Ages,Males,0.25
2021,15-24,Both Sexes,0.17
2021,15-24,Females,0.04
2021,15-24,Males,0.29
2021,15-49,Both Sexes,0.22
2021,15-49,Females,0.03
2021,15-49,Males,0.38
2021,50+,Both Sexes,0.07
2021,50+,Females,0.01
2021,50+,Males,0.14
2021,All Ages,Both Sexes,0.14
2021,All Ages,Females,0.02
2021,All Ages,Males,0.25
2022,15-24,Both Sexes,0.1
2022,15-24,Females,0.0
2022,15-24,Males,0.18
2022,15-49,Both Sexes,0.31
2022,15-49,Females,0.08
2022,15-49,Males,0.49
2022,50+,Both Sexes,0.04
2022,50+,Females,0.0
2022,50+,Males,0.09
2022,All Ages,Both Sexes,0.19
2022,All Ages,Females,0.04
2022,All Ages,Males,0.26
2023,15-24,Both Sexes,0.09
2023,15-24,Females,0.04
2023,15-24,Males,0.17
2023,15-49,Both Sexes,0.29
2023,15-49,Females,0.07
2023,15-49,Males,0.48
2023,50+,Both Sexes,0.05
2023,50+,Females,0.0
2023,50+,Males,0.1
2023,All Ages,Both Sexes,0.19
2023,All Ages,Females,0.04
2023,All Ages,Males,0.33
2024,15-24,Both Sexes,0.13
2024,15-24,Females,0.0
2024,15-24,Males,0.24
2024,15-49,Both Sexes,0.32
2024,15-49,Females,0.04
2024,15-49,Males,0.55
2024,50+,Both Sexes,0.07
2024,50+,Females,0.04
2024,50+,Males,0.09
2024,All Ages,Both Sexes,0.21
2024,All Ages,Females,0.04
2024,All Ages,Males,0.36
